=== Soft Spaces Phase 2 v25.18 PERTURBATIVE PATH-ORGANIZATION ANALYSIS ===
Targets: [155, 165, 175, 183] | local radius=+/-10 | step=2
Geometry: 8Q source -> 9Q target | branches=2
Seed blocks: 4 x 25 = 100 | base_seed=18301000 | stride=1000000
Perturb reps/seed=3 | dH_terms=5 | resolvent regularizer=0.001

Theory-derived method change:
  Keep the Q-space path distribution instead of collapsing immediately to one susceptibility scalar.
  X-path weights: w_m ~ ||<m|V|P>||^2 / [(Eref-E_m)^2 + reg^2].
  PR measures effective number of contributing Q states; entropy measures spread; top1/top5 measure concentration.
  Sigma cancellation ratios measure destructive/constructive organization of signed virtual paths.
  Cancellation near 0 = strong cancellation; near 1 = coherent reinforcement.
  v25.18 is exploratory/structural: NO success gate, no continuation score, no fitted weights.

Target summary against immediate REAL background:
target | units | PR T | PR bg | dPR | H T | H bg | dH | top1 T | top1 bg | dtop1 | Cmat T | Cmat bg | dCmat | NULL-REAL PR | NULL-REAL H | NULL-REAL Cmat | controls
   155 |     4 |  44.319 |  43.907 |  +0.428 |  3.9424 |  3.9407 | +0.0047 |  0.04810 |  0.04897 | -0.00090 |  0.5269 |  0.5263 | +0.0011 |      -1.2088 |    -0.02133 |       -0.168053 | [145, 147, 149, 151, 153, 157, 159, 161, 163]
   165 |     4 |  44.262 |  43.940 |  +0.307 |  3.9433 |  3.9422 | -0.0005 |  0.04929 |  0.04938 | +0.00033 |  0.5295 |  0.5304 | +0.0012 |      -0.8406 |    -0.01889 |       -0.176217 | [157, 159, 161, 163, 167, 169, 171, 173]
   175 |     4 |  43.586 |  43.997 |  -0.411 |  3.9426 |  3.9436 | +0.0005 |  0.04947 |  0.04865 | +0.00082 |  0.5298 |  0.5285 | +0.0013 |      -0.3702 |    -0.02345 |       -0.185773 | [167, 169, 171, 173, 177, 179, 181, 185]
   183 |     4 |  44.170 |  44.264 |  -0.214 |  3.9448 |  3.9443 | +0.0015 |  0.04832 |  0.04845 | -0.00025 |  0.5268 |  0.5288 | +0.0002 |      -1.0837 |    -0.02340 |       -0.173442 | [173, 177, 179, 181, 185, 187, 189, 191, 193]

Detailed candidate x batch units:
k | batch | model | n | PR | entropy | top1 | top5 | cancel_trace | cancel_matrix | Sigma signed trace | Sigma abs trace mass
 163 |     1 | NULL |  150 |   42.943 |  3.92103 |  0.05049 |  0.20189 |     0.520383 |      0.372295 |     +2.398314e-04 |        4.706104e-03
 163 |     1 | REAL |  150 |   43.318 |  3.94304 |  0.05008 |  0.20227 |     0.720181 |      0.509802 |     +1.034106e-03 |        3.657037e-03
 163 |     2 | NULL |  150 |   43.139 |  3.92210 |  0.05085 |  0.20557 |     0.468384 |      0.334511 |     -4.885685e-04 |        4.935906e-03
 163 |     2 | REAL |  150 |   43.172 |  3.93105 |  0.05117 |  0.20604 |     0.762367 |      0.540994 |     +4.337596e-04 |        3.719296e-03
 163 |     3 | NULL |  150 |   43.187 |  3.92393 |  0.05081 |  0.20549 |     0.510307 |      0.365831 |     -4.371867e-04 |        4.623750e-03
 163 |     3 | REAL |  150 |   43.586 |  3.93244 |  0.04981 |  0.20034 |     0.737865 |      0.521813 |     +3.114255e-04 |        3.932050e-03
 163 |     4 | NULL |  150 |   43.672 |  3.92722 |  0.04956 |  0.20028 |     0.486552 |      0.354704 |     +6.626967e-04 |        5.009945e-03
 163 |     4 | REAL |  150 |   44.935 |  3.97442 |  0.04520 |  0.19180 |     0.782519 |      0.553325 |     +1.375687e-03 |        4.027099e-03
 165 |     1 | NULL |  150 |   43.091 |  3.92034 |  0.04843 |  0.20017 |     0.526265 |      0.376975 |     +1.891789e-04 |        4.779974e-03
 165 |     1 | REAL |  150 |   43.854 |  3.93794 |  0.04941 |  0.19795 |     0.719336 |      0.509689 |     +1.005771e-03 |        3.647941e-03
 165 |     2 | NULL |  150 |   44.216 |  3.93486 |  0.04587 |  0.19408 |     0.472915 |      0.340898 |     -5.317735e-04 |        4.858429e-03
 165 |     2 | REAL |  150 |   44.669 |  3.94642 |  0.05029 |  0.19855 |     0.751336 |      0.534340 |     +4.622303e-04 |        3.836510e-03
 165 |     3 | NULL |  150 |   42.840 |  3.91991 |  0.05002 |  0.20353 |     0.509775 |      0.365729 |     -4.632295e-04 |        4.683763e-03
 165 |     3 | REAL |  150 |   43.759 |  3.94009 |  0.04782 |  0.19972 |     0.737338 |      0.524722 |     +3.180337e-04 |        3.911834e-03
 165 |     4 | NULL |  150 |   42.904 |  3.92724 |  0.04909 |  0.20331 |     0.486261 |      0.345643 |     +8.005409e-04 |        5.041229e-03
 165 |     4 | REAL |  150 |   45.445 |  3.96475 |  0.04918 |  0.19676 |     0.782519 |      0.553325 |     +1.420366e-03 |        4.017824e-03
 167 |     1 | NULL |  150 |   43.062 |  3.92172 |  0.04966 |  0.20473 |     0.519377 |      0.372486 |     +1.272322e-04 |        4.713273e-03
 167 |     1 | REAL |  150 |   43.372 |  3.93722 |  0.04994 |  0.19818 |     0.711161 |      0.503983 |     +1.019785e-03 |        3.664043e-03
 167 |     2 | NULL |  150 |   43.476 |  3.92445 |  0.04943 |  0.20368 |     0.481211 |      0.349265 |     -4.681304e-04 |        4.793373e-03
 167 |     2 | REAL |  150 |   43.392 |  3.92644 |  0.04916 |  0.19816 |     0.764457 |      0.541769 |     +4.646234e-04 |        3.802606e-03
 167 |     3 | NULL |  150 |   42.946 |  3.91463 |  0.04878 |  0.20147 |     0.497393 |      0.356102 |     -4.941958e-04 |        4.780276e-03
 167 |     3 | REAL |  150 |   43.567 |  3.93757 |  0.05009 |  0.20082 |     0.739047 |      0.523280 |     +3.087456e-04 |        3.873750e-03
 167 |     4 | NULL |  150 |   42.673 |  3.91428 |  0.04815 |  0.20065 |     0.481776 |      0.342623 |     +7.591653e-04 |        5.053221e-03
 167 |     4 | REAL |  150 |   44.313 |  3.94726 |  0.04862 |  0.20077 |     0.782519 |      0.553325 |     +1.457865e-03 |        4.027426e-03
 169 |     1 | NULL |  150 |   42.894 |  3.91589 |  0.04977 |  0.20340 |     0.516817 |      0.369159 |     +2.130618e-04 |        4.879698e-03
 169 |     1 | REAL |  150 |   44.039 |  3.94643 |  0.04758 |  0.19840 |     0.706870 |      0.500521 |     +1.003049e-03 |        3.690057e-03
 169 |     2 | NULL |  150 |   43.402 |  3.92309 |  0.04969 |  0.20312 |     0.469405 |      0.333978 |     -4.286837e-04 |        4.817421e-03
 169 |     2 | REAL |  150 |   43.946 |  3.94438 |  0.05064 |  0.19973 |     0.756563 |      0.536982 |     +4.533184e-04 |        3.754884e-03
 169 |     3 | NULL |  150 |   42.350 |  3.91391 |  0.05233 |  0.20606 |     0.494034 |      0.353753 |     -4.926400e-04 |        4.645772e-03
 169 |     3 | REAL |  150 |   43.707 |  3.94037 |  0.04896 |  0.20079 |     0.736837 |      0.522898 |     +3.143050e-04 |        3.837018e-03
 169 |     4 | NULL |  150 |   43.215 |  3.92441 |  0.05019 |  0.20162 |     0.478674 |      0.339272 |     +7.232177e-04 |        5.003722e-03
 169 |     4 | REAL |  150 |   45.994 |  3.99854 |  0.04750 |  0.19586 |     0.782519 |      0.553325 |     +1.371980e-03 |        4.011769e-03
 171 |     1 | NULL |  150 |   43.472 |  3.92106 |  0.04795 |  0.19816 |     0.534277 |      0.383458 |     +1.407860e-05 |        4.724911e-03
 171 |     1 | REAL |  150 |   44.260 |  3.94756 |  0.04717 |  0.19769 |     0.704591 |      0.498676 |     +1.072848e-03 |        3.693239e-03
 171 |     2 | NULL |  150 |   43.999 |  3.92746 |  0.04686 |  0.19647 |     0.457141 |      0.328405 |     -5.763012e-04 |        4.753559e-03
