fold,repeat,fold_within_repeat,model,chosen_k,n_train,n_test,n_pos_train,n_pos_test,pr_auc,roc_auc,balanced_accuracy,sensitivity,specificity
48,10,3,univariate_logistic,8.0,77,19,11,2,0.29166666666666663,0.7647058823529411,0.6617647058823529,0.5,0.8235294117647058
49,10,4,logistic_l2,,77,19,10,3,0.5888888888888889,0.9166666666666666,0.8020833333333333,0.6666666666666666,0.9375
49,10,4,logistic_l1,,77,19,10,3,1.0,1.0,0.96875,1.0,0.9375
49,10,4,linear_svm,,77,19,10,3,0.5888888888888889,0.9166666666666666,0.8020833333333333,0.6666666666666666,0.9375
49,10,4,univariate_logistic,32.0,77,19,10,3,0.5333333333333333,0.8958333333333334,0.7708333333333333,0.6666666666666666,0.875
50,10,5,logistic_l2,,77,19,10,3,0.6333333333333333,0.875,0.5729166666666666,0.3333333333333333,0.8125
50,10,5,logistic_l1,,77,19,10,3,0.6666666666666667,0.8958333333333334,0.6041666666666666,0.3333333333333333,0.875
50,10,5,linear_svm,,77,19,10,3,0.6666666666666667,0.8958333333333334,0.6666666666666666,0.3333333333333333,1.0
50,10,5,univariate_logistic,16.0,77,19,10,3,0.2528138528138528,0.6458333333333334,0.6458333333333333,0.6666666666666666,0.625
51,11,1,logistic_l2,,76,20,10,3,0.7222222222222222,0.9215686274509803,0.803921568627451,0.6666666666666666,0.9411764705882353
51,11,1,logistic_l1,,76,20,10,3,0.5277777777777778,0.7450980392156863,0.6078431372549019,0.3333333333333333,0.8823529411764706
51,11,1,linear_svm,,76,20,10,3,0.8666666666666667,0.9607843137254901,0.803921568627451,0.6666666666666666,0.9411764705882353
51,11,1,univariate_logistic,32.0,76,20,10,3,0.8333333333333333,0.9411764705882353,0.803921568627451,0.6666666666666666,0.9411764705882353
52,11,2,logistic_l2,,77,19,11,2,0.13942307692307693,0.47058823529411764,0.4411764705882353,0.0,0.8823529411764706
52,11,2,logistic_l1,,77,19,11,2,0.26785714285714285,0.7647058823529411,0.4117647058823529,0.0,0.8235294117647058
52,11,2,linear_svm,,77,19,11,2,0.325,0.8235294117647058,0.4411764705882353,0.0,0.8823529411764706
52,11,2,univariate_logistic,16.0,77,19,11,2,0.15555555555555556,0.5294117647058824,0.35294117647058826,0.0,0.7058823529411765
53,11,3,logistic_l2,,77,19,11,2,0.5714285714285714,0.6470588235294117,0.7205882352941176,0.5,0.9411764705882353
53,11,3,logistic_l1,,77,19,11,2,0.35,0.7352941176470589,0.6911764705882353,0.5,0.8823529411764706
53,11,3,linear_svm,,77,19,11,2,0.5714285714285714,0.6470588235294117,0.75,0.5,1.0
53,11,3,univariate_logistic,8.0,77,19,11,2,0.35,0.7352941176470589,0.6617647058823529,0.5,0.8235294117647058
54,11,4,logistic_l2,,77,19,10,3,0.8666666666666667,0.9583333333333334,0.8020833333333333,0.6666666666666666,0.9375
54,11,4,logistic_l1,,77,19,10,3,0.9166666666666665,0.9791666666666666,0.8020833333333333,0.6666666666666666,0.9375
54,11,4,linear_svm,,77,19,10,3,0.8333333333333333,0.9375,0.8333333333333333,0.6666666666666666,1.0
54,11,4,univariate_logistic,8.0,77,19,10,3,0.6111111111111112,0.8333333333333333,0.7708333333333333,0.6666666666666666,0.875
55,11,5,logistic_l2,,77,19,10,3,0.22053872053872053,0.5833333333333333,0.375,0.0,0.75
55,11,5,logistic_l1,,77,19,10,3,0.2507936507936508,0.6458333333333334,0.40625,0.0,0.8125
55,11,5,linear_svm,,77,19,10,3,0.3206349206349206,0.75,0.46875,0.0,0.9375
55,11,5,univariate_logistic,8.0,77,19,10,3,0.2880952380952381,0.6458333333333333,0.6770833333333333,0.6666666666666666,0.6875
56,12,1,logistic_l2,,76,20,10,3,0.5888888888888889,0.9215686274509803,0.9411764705882353,1.0,0.8823529411764706
56,12,1,logistic_l1,,76,20,10,3,0.5,0.8431372549019607,0.803921568627451,0.6666666666666666,0.9411764705882353
56,12,1,linear_svm,,76,20,10,3,0.6388888888888888,0.9411764705882353,0.9411764705882353,1.0,0.8823529411764706
56,12,1,univariate_logistic,16.0,76,20,10,3,0.35555555555555557,0.7843137254901961,0.7156862745098038,0.6666666666666666,0.7647058823529411
57,12,2,logistic_l2,,77,19,11,2,0.31666666666666665,0.5882352941176471,0.47058823529411764,0.0,0.9411764705882353
