fold,repeat,fold_within_repeat,r,k,n_train,n_test,n_pos_train,n_pos_test,pr_auc,roc_auc,balanced_accuracy,sensitivity,specificity
54,11,4,4,32,77,19,10,3,0.9166666666666665,0.9791666666666666,0.96875,1.0,0.9375
54,11,4,8,8,77,19,10,3,0.2569444444444444,0.5625,0.5833333333333333,0.6666666666666666,0.5
54,11,4,8,16,77,19,10,3,0.30694444444444446,0.625,0.7395833333333333,0.6666666666666666,0.8125
54,11,4,8,32,77,19,10,3,0.7380952380952381,0.7708333333333333,0.8020833333333333,0.6666666666666666,0.9375
54,11,4,16,8,77,19,10,3,0.11406948744410045,0.0625,0.3125,0.0,0.625
54,11,4,16,16,77,19,10,3,0.18095238095238098,0.4583333333333333,0.3125,0.0,0.625
54,11,4,16,32,77,19,10,3,0.3194444444444444,0.75,0.46875,0.0,0.9375
55,11,5,4,8,77,19,10,3,0.17513227513227514,0.4375,0.34375,0.0,0.6875
55,11,5,4,16,77,19,10,3,0.18888888888888888,0.4583333333333333,0.375,0.0,0.75
55,11,5,4,32,77,19,10,3,0.1638888888888889,0.3958333333333333,0.34375,0.0,0.6875
55,11,5,8,8,77,19,10,3,0.1402116402116402,0.2708333333333333,0.38541666666666663,0.3333333333333333,0.4375
55,11,5,8,16,77,19,10,3,0.12589165220744167,0.16666666666666666,0.21875,0.0,0.4375
55,11,5,8,32,77,19,10,3,0.1527777777777778,0.29166666666666663,0.40625,0.0,0.8125
55,11,5,16,8,77,19,10,3,0.1446950710108605,0.2708333333333333,0.38541666666666663,0.3333333333333333,0.4375
55,11,5,16,16,77,19,10,3,0.12564102564102564,0.16666666666666666,0.3125,0.0,0.625
55,11,5,16,32,77,19,10,3,0.16430976430976432,0.3958333333333333,0.34375,0.0,0.6875
56,12,1,4,8,76,20,10,3,0.6,0.8235294117647058,0.6274509803921569,0.6666666666666666,0.5882352941176471
56,12,1,4,16,76,20,10,3,0.5888888888888889,0.9215686274509803,0.9411764705882353,1.0,0.8823529411764706
56,12,1,4,32,76,20,10,3,0.45833333333333326,0.8431372549019607,0.7745098039215685,0.6666666666666666,0.8823529411764706
56,12,1,8,8,76,20,10,3,0.30694444444444446,0.6470588235294118,0.7156862745098038,0.6666666666666666,0.7647058823529411
56,12,1,8,16,76,20,10,3,0.5625,0.7058823529411764,0.7450980392156863,0.6666666666666666,0.8235294117647058
56,12,1,8,32,76,20,10,3,0.6324786324786325,0.784313725490196,0.803921568627451,0.6666666666666666,0.9411764705882353
56,12,1,16,8,76,20,10,3,0.18461538461538463,0.392156862745098,0.4901960784313726,0.3333333333333333,0.6470588235294118
56,12,1,16,16,76,20,10,3,0.3888888888888889,0.8039215686274509,0.7156862745098038,0.6666666666666666,0.7647058823529411
56,12,1,16,32,76,20,10,3,0.27609427609427606,0.6666666666666666,0.5490196078431372,0.3333333333333333,0.7647058823529411
57,12,2,4,8,77,19,11,2,0.14646464646464646,0.5,0.3235294117647059,0.0,0.6470588235294118
57,12,2,4,16,77,19,11,2,0.10882352941176471,0.29411764705882354,0.29411764705882354,0.0,0.5882352941176471
