fold,repeat,fold_within_repeat,real_pr_auc,real_roc_auc,real_panel
43,9,3,0.10049019607843138,0.23529411764705882,VWF|DEFB1|RBPMS2|IL8RB|HIST1H4E|MPL|HIST2H3A|IFIT3|HBM|HOXA5|IFIT2|HIST1H2AM|SERPINE2|TNFSF10|ESAM|SNORD3C|HIST2H2BF|PRG3|HIST1H1B|HIST1H1E|DEFA4|MS4A2|RGS1|GP9|GAPDHL6|HIST1H2BG|CA1|CCL4L1|TCN1|TSPAN33|AHSP|SNORD3A
44,9,4,0.4027777777777778,0.7916666666666666,VWF|RBPMS2|ESAM|ITGA2B|PHACTR1|HES4|MAFB|CLEC1B|C15orf48|TNFSF10|GIMAP4|ADM|GJB6|ITGB3|FGL2|SERPINE2|HIST1H1E|CSF1R|C1orf186|VCAN|CX3CR1|HIST1H2AH|HIST1H1B|MGC13057|SIK1|GP9|CD83|GIMAP8|HIST1H2AM|HIST1H4E|HIST2H3C|KIAA0367
45,9,5,0.6805555555555556,0.875,VWF|MPL|SERPINE2|MAFB|RBPMS2|ESAM|LAMA5|CLEC1B|ITGA2B|LTF|HIST1H4E|TREM1|ADM|PROS1|TSPAN33|CEACAM8|HIST1H2AM|DEFA4|PI3|ITGB3|PGLYRP1|TCN1|G0S2|BPI|THBS1|CD24|RNU1A3|MMP8|CLDN5|VCAN|HIST2H3A|CEACAM6
46,10,1,0.7666666666666666,0.8627450980392157,VWF|TNFSF10|FGL2|MPL|MAFB|LAMA5|IL8RB|MX1|MS4A2|ESAM|RBPMS2|SERPINE2|CLEC1B|IFIT3|VCAN|ITGA2B|KIAA0367|ITGB3|TGFBI|HIST1H4E|TSPAN33|PROS1|GIMAP4|HIST1H2AH|IFIT2|SLC45A3|IGJ|IRF8|CLDN5|HIST1H2BG|HOXA5|HIST1H1B
47,10,2,0.1625,0.47058823529411764,VWF|DEFB1|SERPINE2|MX1|IL8RB|HBM|MPL|RBPMS2|RGS1|HIST1H4E|SPTA1|SLC4A1|GYPB|DEFA4|HIST1H2AM|RHAG|CA1|AHSP|EBI2|HIST1H1B|IFIT2|LTF|FGL2|IFIT1L|HIST2H3A|ESAM|HIST1H1E|HIST2H3C|HIST1H2AH|CEACAM8|TCN1|TNFSF10
48,10,3,0.17692307692307693,0.5588235294117647,VWF|ESAM|MPL|CLEC1B|RBPMS2|TNFSF10|MS4A2|PROS1|ITGA2B|SERPINE2|GP9|ITGB3|TSPAN33|HIST1H4E|MAFB|TGFBI|PPBP|VCAN|HIST2H3A|HIST1H2AM|SLC45A3|HIST2H2BF|F13A1|SNORD3C|MGC13057|SPRYD5|LAMA5|HIST1H1E|MX1|RNU1F1|DEFA4|SNORD3A
49,10,4,0.8666666666666667,0.9583333333333334,VWF|MPL|ESAM|TNFSF10|GIMAP4|RBPMS2|CLEC1B|FGL2|C1orf186|PROS1|MAFB|TSPAN33|ITGA2B|MX1|HBEGF|HOXA5|HIST1H4E|RRM2|GP9|GIMAP8|CLDN5|MGC13057|SNORD3C|GJB6|ITGB3|CSF1R|SNORD3A|VCAN|SERPINE2|RNU5A|PRAGMIN|CX3CR1
50,10,5,0.2619047619047619,0.6666666666666666,VWF|RBPMS2|ESAM|ITGA2B|SERPINE2|PHACTR1|LOC100133875|GIMAP4|TNFSF10|KLHL15|CLEC1B|C16orf75|GADD45B|GJB6|MAFB|HIST1H4E|HIST1H1B|SNORD3C|GP9|TSPAN33|HES4|CX3CR1|GIMAP8|RNU1F1|ADM|PRAGMIN|RNU1A3|TPSAB1|HBEGF|HIST1H1E|CD83|HIST1H2AH
51,11,1,0.373015873015873,0.7647058823529411,VWF|RBPMS2|GJB6|ESAM|PHACTR1|TNFSF10|ITGA2B|GIMAP4|KLHL15|MAFB|CX3CR1|SERPINE2|CLEC1B|C1orf186|ADM|TSPAN33|HES4|HIST1H4E|CSF1R|FGL2|GIMAP8|CD83|HIST1H2AM|GP9|PRAGMIN|MS4A2|DUSP5|HBEGF|HIST2H3A|SIK1|LOC653610|RNU4-1
52,11,2,0.09401709401709402,0.1764705882352941,VWF|ESAM|TNFSF10|GIMAP4|RBPMS2|MPL|MAFB|CLEC1B|PHACTR1|PROS1|ITGA2B|SERPINE2|GP9|GIMAP8|FGL2|CSF1R|MX1|MGC13057|TSPAN33|SNORD3C|CX3CR1|ITGB3|LAMA5|SNORD3A|HES4|PRAGMIN|HIST2H3A|HIST1H4E|GJB6|EPDR1|HIST1H2AM|CXCL2
53,11,3,0.325,0.8235294117647058,IL8RB|HIST2H3A|HIST1H1E|HIST1H2AM|HIST1H4E|GAPDHL6|DLGAP5|IFIT2|MX1|HIST1H1B|CLIC3|HIST2H2BF|EMP1|HIST1H2BG|CDC20|LTF|DEFA4|EOMES|XIST|HIST1H2AE|LOC728835|NEU4|TACSTD2|CEACAM8|RHAG|RNU1F1|FPR2|RNU1A3|CCL4L1|HIST1H1D|TCN1|IFIT3
54,11,4,0.9166666666666665,0.9791666666666666,VWF|RBPMS2|MPL|ESAM|ITGA2B|GJB6|LOC653610|CLEC1B|MAFB|SERPINE2|PROS1|GP9|TSPAN33|GIMAP4|TNFSF10|SNORD3C|MGC13057|RNU4-1|HIST1H1E|GADD45B|SNORD3A|HIST1H4E|LAMA5|ITGB3|ADM|RNU12|RNU1-3|HIST2H2AB|FGL2|IL8RB|CX3CR1|SNORD3D
55,11,5,0.1638888888888889,0.3958333333333333,VWF|MPL|RBPMS2|ESAM|SERPINE2|ITGA2B|PROS1|MS4A2|CLEC1B|TSPAN33|ITGB3|HIST1H1E|HIST1H2AM|HIST1H1B|HIST2H3A|HIST1H2AH|VCAN|HIST1H4E|RNU1F1|MAFB|GP9|RNU1A3|DEFA4|LTF|TNFSF10|SLC45A3|HIST1H1D|CEACAM8|TGFBI|TCN1|CEACAM6|FGL2
56,12,1,0.45833333333333326,0.8431372549019607,GJB6|VWF|MPL|TNFSF10|RBPMS2|ESAM|CLEC1B|PROS1|ITGA2B|KLHL15|GIMAP8|TSPAN33|GIMAP4|FGL2|C1orf186|CX3CR1|SERPINE2|MAFB|ITGB3|PHACTR1|GP9|HBEGF|HIST1H4E|SNORD3C|SNORD3A|RNU4-1|NAT8B|HES4|C16orf75|HIST1H2AM|RNU11|HIST2H3A
