development_gene,development_entrez_ids,gpl570_status,matched_entrez_ids,gse236233_present_all9,eligible_v44
TAF9L,51616,ENTREZ_ID_MATCH,51616,0,0
TAGAP,117289,EXACT_SYMBOL,117289,1,1
TAGLN,6876,EXACT_SYMBOL,6876,1,1
TAGLN2,8407,EXACT_SYMBOL,8407,1,1
TAGLN3,29114,EXACT_SYMBOL,29114,1,1
TAL1,6886,EXACT_SYMBOL,6886,1,1
TAL2,6887,EXACT_SYMBOL,6887,1,1
TALDO1,6888,EXACT_SYMBOL,6888,1,1
TANC1,85461,EXACT_SYMBOL,85461,1,1
TANC2,26115,EXACT_SYMBOL,26115,1,1
TANK,10010,EXACT_SYMBOL,10010,1,1
TAOK1,57551,EXACT_SYMBOL,57551,1,1
TAOK2,9344,EXACT_SYMBOL,9344,1,1
TAOK3,51347,EXACT_SYMBOL,51347,1,1
TAP1,6890,EXACT_SYMBOL,6890,1,1
