fold,repeat,fold_within_repeat,r,n_train,n_test,n_pos_train,n_pos_test,leading_abs_eigenvalue,pr_auc,roc_auc,balanced_accuracy,sensitivity,specificity
39,8,4,16,77,19,10,3,66.93693531553632,0.3277777777777778,0.7083333333333334,0.6041666666666666,0.3333333333333333,0.875
40,8,5,4,77,19,10,3,52.98275760978915,0.5,0.8333333333333333,0.6458333333333333,0.6666666666666666,0.625
40,8,5,8,77,19,10,3,52.98275760978915,0.35555555555555557,0.7708333333333334,0.7083333333333333,0.6666666666666666,0.75
40,8,5,16,77,19,10,3,52.98275760978915,0.5916666666666666,0.8333333333333333,0.7395833333333333,0.6666666666666666,0.8125
41,9,1,4,76,20,10,3,65.63605763972502,0.30357142857142855,0.7450980392156862,0.8235294117647058,1.0,0.6470588235294118
41,9,1,8,76,20,10,3,65.63605763972502,0.3619047619047619,0.7450980392156863,0.5196078431372549,0.3333333333333333,0.7058823529411765
41,9,1,16,76,20,10,3,65.63605763972502,0.3686868686868687,0.7647058823529411,0.6078431372549019,0.3333333333333333,0.8823529411764706
42,9,2,4,77,19,11,2,68.86614346132963,0.29166666666666663,0.7647058823529411,0.8235294117647058,1.0,0.6470588235294118
42,9,2,8,77,19,11,2,68.86614346132963,0.45,0.8823529411764706,0.8529411764705883,1.0,0.7058823529411765
42,9,2,16,77,19,11,2,68.86614346132963,0.5833333333333333,0.9411764705882353,0.9411764705882353,1.0,0.8823529411764706
43,9,3,4,77,19,11,2,63.757429773197956,0.17763157894736842,0.4117647058823529,0.6617647058823529,0.5,0.8235294117647058
43,9,3,8,77,19,11,2,63.757429773197956,0.12692307692307692,0.4117647058823529,0.4117647058823529,0.0,0.8235294117647058
43,9,3,16,77,19,11,2,63.757429773197956,0.3214285714285714,0.6176470588235294,0.6911764705882353,0.5,0.8823529411764706
44,9,4,4,77,19,10,3,54.71728068778117,0.6,0.8125,0.6458333333333333,0.6666666666666666,0.625
44,9,4,8,77,19,10,3,54.71728068778117,0.8333333333333333,0.9375,0.8020833333333333,0.6666666666666666,0.9375
44,9,4,16,77,19,10,3,54.71728068778117,0.6984126984126984,0.8958333333333334,0.7708333333333333,0.6666666666666666,0.875
45,9,5,4,77,19,10,3,53.59929998764751,0.5158730158730158,0.6875,0.5416666666666666,0.3333333333333333,0.75
45,9,5,8,77,19,10,3,53.59929998764751,0.7435897435897436,0.7916666666666666,0.7395833333333333,0.6666666666666666,0.8125
45,9,5,16,77,19,10,3,53.59929998764751,0.7916666666666666,0.8958333333333333,0.7708333333333333,0.6666666666666666,0.875
46,10,1,4,76,20,10,3,63.88902276586767,0.5588235294117647,0.6862745098039216,0.6568627450980392,0.6666666666666666,0.6470588235294118
46,10,1,8,76,20,10,3,63.88902276586767,0.5555555555555556,0.6666666666666666,0.6568627450980392,0.6666666666666666,0.6470588235294118
46,10,1,16,76,20,10,3,63.88902276586767,0.38888888888888884,0.6470588235294118,0.7450980392156863,0.6666666666666666,0.8235294117647058
47,10,2,4,77,19,11,2,56.99600090341815,0.225,0.7058823529411764,0.5735294117647058,0.5,0.6470588235294118
47,10,2,8,77,19,11,2,56.99600090341815,0.19642857142857142,0.6470588235294117,0.3235294117647059,0.0,0.6470588235294118
47,10,2,16,77,19,11,2,56.99600090341815,0.19642857142857142,0.6470588235294117,0.4117647058823529,0.0,0.8235294117647058
48,10,3,4,77,19,11,2,65.11786416174832,0.6428571428571428,0.8529411764705882,0.6029411764705883,0.5,0.7058823529411765
48,10,3,8,77,19,11,2,65.11786416174832,0.625,0.8235294117647058,0.6323529411764706,0.5,0.7647058823529411
48,10,3,16,77,19,11,2,65.11786416174832,0.6428571428571428,0.8529411764705882,0.7205882352941176,0.5,0.9411764705882353
49,10,4,4,77,19,10,3,50.26892525178978,0.5694444444444444,0.8125,0.8125,1.0,0.625
49,10,4,8,77,19,10,3,50.26892525178978,0.6388888888888888,0.9375,0.9375,1.0,0.875
49,10,4,16,77,19,10,3,50.26892525178978,0.8055555555555556,0.9583333333333334,0.8020833333333333,0.6666666666666666,0.9375
50,10,5,4,77,19,10,3,70.13264334770888,0.3032679738562092,0.6041666666666666,0.6145833333333333,0.6666666666666666,0.5625
50,10,5,8,77,19,10,3,70.13264334770888,0.4880952380952381,0.6458333333333333,0.6458333333333333,0.6666666666666666,0.625
50,10,5,16,77,19,10,3,70.13264334770888,0.4777777777777778,0.875,0.7708333333333333,0.6666666666666666,0.875
51,11,1,4,76,20,10,3,66.34849255031132,0.5396825396825397,0.784313725490196,0.8235294117647058,1.0,0.6470588235294118
51,11,1,8,76,20,10,3,66.34849255031132,0.5213675213675213,0.7254901960784313,0.5784313725490196,0.3333333333333333,0.8235294117647058
51,11,1,16,76,20,10,3,66.34849255031132,0.8666666666666667,0.9607843137254901,0.8333333333333333,0.6666666666666666,1.0
52,11,2,4,77,19,11,2,53.787031919648136,0.10795454545454546,0.29411764705882354,0.2647058823529412,0.0,0.5294117647058824
52,11,2,8,77,19,11,2,53.787031919648136,0.09722222222222221,0.20588235294117646,0.23529411764705882,0.0,0.47058823529411764
52,11,2,16,77,19,11,2,53.787031919648136,0.25,0.7352941176470588,0.4117647058823529,0.0,0.8235294117647058
53,11,3,4,77,19,11,2,57.43600229392303,0.19090909090909092,0.6176470588235294,0.5735294117647058,0.5,0.6470588235294118
53,11,3,8,77,19,11,2,57.43600229392303,0.16666666666666669,0.5,0.38235294117647056,0.0,0.7647058823529411
53,11,3,16,77,19,11,2,57.43600229392303,0.26666666666666666,0.7058823529411764,0.6323529411764706,0.5,0.7647058823529411
54,11,4,4,77,19,10,3,67.37755635390461,0.4666666666666667,0.8541666666666666,0.90625,1.0,0.8125
54,11,4,8,77,19,10,3,67.37755635390461,0.41666666666666663,0.75,0.7083333333333333,0.6666666666666666,0.75
54,11,4,16,77,19,10,3,67.37755635390461,1.0,1.0,1.0,1.0,1.0
55,11,5,4,77,19,10,3,67.64780170042246,0.7380952380952381,0.7708333333333333,0.6458333333333333,0.6666666666666666,0.625
55,11,5,8,77,19,10,3,67.64780170042246,0.14484126984126983,0.2708333333333333,0.4375,0.0,0.875
55,11,5,16,77,19,10,3,67.64780170042246,0.15728715728715728,0.3541666666666667,0.40625,0.0,0.8125
56,12,1,4,76,20,10,3,68.51780192175711,0.6095238095238096,0.8627450980392156,0.8235294117647058,1.0,0.6470588235294118
56,12,1,8,76,20,10,3,68.51780192175711,0.5888888888888889,0.9215686274509803,0.7745098039215685,0.6666666666666666,0.8823529411764706
56,12,1,16,76,20,10,3,68.51780192175711,0.6388888888888888,0.803921568627451,0.7745098039215685,0.6666666666666666,0.8823529411764706
57,12,2,4,77,19,11,2,68.47855112366679,0.41666666666666663,0.8823529411764706,0.8529411764705883,1.0,0.7058823529411765
