fold_i,fold_j,repeat_i,repeat_j,same_repeat,normalized_projector_overlap
3,75,1,15,0,0.6838675502158542
3,76,1,16,0,0.7085011078510941
3,77,1,16,0,0.6903741977999891
3,78,1,16,0,0.7286588505953453
3,79,1,16,0,0.6803134143881152
3,80,1,16,0,0.7084060123940665
3,81,1,17,0,0.7316274005353921
3,82,1,17,0,0.7045498736213132
3,83,1,17,0,0.808277471303166
3,84,1,17,0,0.6761305789300164
3,85,1,17,0,0.6990641582654658
3,86,1,18,0,0.619290613348491
3,87,1,18,0,0.6857846207141596
3,88,1,18,0,0.6688156675702036
3,89,1,18,0,0.7706136370018389
3,90,1,18,0,0.8329334507666992
3,91,1,19,0,0.7574668476107222
3,92,1,19,0,0.6511463341486382
3,93,1,19,0,0.7216015401327551
3,94,1,19,0,0.6738923326276745
3,95,1,19,0,0.7468599202376438
3,96,1,20,0,0.7501338308264598
3,97,1,20,0,0.6468354762395832
3,98,1,20,0,0.7242496263140615
3,99,1,20,0,0.7285099601258576
3,100,1,20,0,0.6856025697495592
4,5,1,1,1,0.6157121836872341
4,6,1,2,0,0.6803732520230414
4,7,1,2,0,0.7359254509929896
4,8,1,2,0,0.6744050848689691
4,9,1,2,0,0.5697922597507821
4,10,1,2,0,0.7581364684434471
4,11,1,3,0,0.6701827123483406
4,12,1,3,0,0.6993401696900319
4,13,1,3,0,0.6643690704145951
4,14,1,3,0,0.6911687903498137
4,15,1,3,0,0.70546468232
4,16,1,4,0,0.7361691097877721
4,17,1,4,0,0.549089098455468
4,18,1,4,0,0.7184569637729942
4,19,1,4,0,0.7051175920829837
4,20,1,4,0,0.7483300185227093
4,21,1,5,0,0.6974555981033281
4,22,1,5,0,0.6633947262653106
4,23,1,5,0,0.7375994687519726
4,24,1,5,0,0.6553034708539673
4,25,1,5,0,0.7388200481719824
4,26,1,6,0,0.7114206258707901
4,27,1,6,0,0.654733723478474
4,28,1,6,0,0.7199091269078292
4,29,1,6,0,0.6804596430340416
4,30,1,6,0,0.6488417163063356
4,31,1,7,0,0.6608899875957572
4,32,1,7,0,0.7149377523875169
4,33,1,7,0,0.6333168556354815
4,34,1,7,0,0.7911360594483143
4,35,1,7,0,0.6244551892122356
4,36,1,8,0,0.7049242755580919
4,37,1,8,0,0.7116662094548303
4,38,1,8,0,0.7634867716521071
4,39,1,8,0,0.6594385363658581
4,40,1,8,0,0.641901987325808
4,41,1,9,0,0.7115547822756569
4,42,1,9,0,0.7276440905878132
4,43,1,9,0,0.7025322070199094
4,44,1,9,0,0.6892210728889889
4,45,1,9,0,0.6581677167211777
4,46,1,10,0,0.6761676241467802
4,47,1,10,0,0.6720714782219593
4,48,1,10,0,0.7384780721713671
4,49,1,10,0,0.6579921048334918
4,50,1,10,0,0.684703317047297
4,51,1,11,0,0.6359830965118998
4,52,1,11,0,0.6701324099830133
4,53,1,11,0,0.7169808194586521
4,54,1,11,0,0.7301599469581775
4,55,1,11,0,0.6864417908537461
4,56,1,12,0,0.6990279704148517
4,57,1,12,0,0.7377019135892511
4,58,1,12,0,0.5505011770262844
4,59,1,12,0,0.7619327702088201
4,60,1,12,0,0.6851295741614127
4,61,1,13,0,0.700956549409145
4,62,1,13,0,0.6895512460721261
4,63,1,13,0,0.5913046410464229
4,64,1,13,0,0.7635022593099363
4,65,1,13,0,0.6761292950317837
4,66,1,14,0,0.6773402878614696
4,67,1,14,0,0.6894522697733885
4,68,1,14,0,0.6981648650900552
4,69,1,14,0,0.7013669612925106
4,70,1,14,0,0.6935315749675006
4,71,1,15,0,0.6372302367717736
4,72,1,15,0,0.6819837963945574
4,73,1,15,0,0.6918953944484749
4,74,1,15,0,0.7111369911722083
4,75,1,15,0,0.6919940522084321
4,76,1,16,0,0.6595010370056591
4,77,1,16,0,0.6721547585401476
4,78,1,16,0,0.7401450822766137
4,79,1,16,0,0.634807685880811
4,80,1,16,0,0.6762031736387784
4,81,1,17,0,0.6728825447291458
4,82,1,17,0,0.6635760945798511
4,83,1,17,0,0.7632256125394385
4,84,1,17,0,0.7075608382393346
4,85,1,17,0,0.6814756313636122
4,86,1,18,0,0.6837324808289102
4,87,1,18,0,0.7644517663293715
