resample	observed_spectrum_cosine	null_spectrum_mean	null_spectrum_sd	z_spectrum	empirical_p_spectrum	observed_distance_w1	null_distance_mean	null_distance_sd	z_distance	empirical_p_distance	observed_anisotropy_w1	observed_effective_dimension_abs_diff	dev_pca16_cumulative_variance	ext_pca16_cumulative_variance	dev_effective_dimension	ext_effective_dimension
144	0.9945554418535253	0.5933465502688963	0.0057321652534181085	69.99255496784342	0.0196078431372549	0.04227031424132295	0.17640852061285442	0.004103638729909901	32.68762559283004	0.0196078431372549	0.008599699781270323	0.9455400863118975	0.8829512987588486	0.8734814645761555	4.407609601779744	3.4620695154678467
145	0.9939463816405764	0.6017403891873269	0.004981121440293481	78.73849235648052	0.0196078431372549	0.041059720605477044	0.172959883654464	0.0039054495045262464	33.77336280910056	0.0196078431372549	0.015874707724875384	1.0123085258013451	0.8839608155007577	0.8746736813933291	4.538004570745153	3.525696044943808
146	0.9947076936116104	0.5850700752570867	0.006505723802563978	62.96572538063805	0.0196078431372549	0.038669121502731246	0.1834176850223767	0.004751331631629183	30.464841173381252	0.0196078431372549	0.012635353343809438	0.74147364906025	0.8851796696752161	0.8752262913981832	4.262843119569978	3.521369470509728
147	0.9943629191758314	0.5829131010770806	0.005494393654661373	74.88539117499927	0.0196078431372549	0.031639211520017176	0.15437377879250108	0.004935548518486968	24.86746241329812	0.0196078431372549	0.01528544529912588	0.7232575158414813	0.8719303040657025	0.8768930413660315	4.270576436076189	3.5473189202347073
148	0.9946118963149367	0.5982452279601967	0.006922742100094882	57.25573228407678	0.0196078431372549	0.05048774388424753	0.19068101380188845	0.004488218534722299	31.235838636880267	0.0196078431372549	0.02077076179016188	1.033696296523499	0.8754038497423399	0.8774312044807047	4.491832457550376	3.458136161026877
149	0.9963117115581628	0.589954720126869	0.005769879786159	70.42728904093944	0.0196078431372549	0.033535370283906005	0.1719501873455829	0.003943595744174155	35.098632324612915	0.0196078431372549	0.01882914509765701	0.8923192337327954	0.8770901331820732	0.8795374361852689	4.36038834287027	3.468069109137475
150	0.9943423051744349	0.5815484539708605	0.005628152624006932	73.34446643163136	0.0196078431372549	0.0590599906678063	0.20031707524187742	0.004908227514292186	28.779652973043106	0.0196078431372549	0.007190693528896593	0.6737907933338354	0.8811843610929592	0.8781792197448952	4.239829360014053	3.5660385666802172
151	0.9946618485115721	0.5944005725025185	0.006164950148599106	64.92530618435042	0.0196078431372549	0.05570725628051425	0.19297521123200942	0.004324464950390645	31.742182333815716	0.0196078431372549	0.020527815849269288	0.9835221478938205	0.8808116292611707	0.8764819513775578	4.443611205845433	3.4600890579516124
152	0.9946047310836859	0.5914065373180193	0.005685599606763352	70.91568553051799	0.0196078431372549	0.04609887062303461	0.17894188667011054	0.0037720291765131323	35.21791848118104	0.0196078431372549	0.016530654814631472	0.8848446994901997	0.8822670004967835	0.8790936030318844	4.394039732501561	3.5091950330113613
153	0.9964996263266324	0.5775044576636703	0.005521285698585227	75.88724647419083	0.0196078431372549	0.05484699821526486	0.2018631857066918	0.004380351119408984	33.56264908536898	0.0196078431372549	0.01597687518764006	0.6746582511220982	0.882659729182359	0.8760364631312102	4.181636035551094	3.5069777844289955
