resample	cohort	z_concentration	z_coherence	observed_concentration	observed_coherence
90	A	-1.3833270340717945	-0.8710646553316643	0.3628720166722639	0.40198917643896187
90	B	2.779385852876563	2.1829089620976934	0.3749236995160091	0.45588182023890733
90	C	3.377529872573474	3.478985675346425	0.43088077542344994	0.6837786512756265
91	A	-1.6542576886140696	1.5204903333348891	0.3647004038643269	0.4399405709945291
91	B	3.789471885450288	1.5678723579576956	0.3765468539771277	0.4221940814885128
91	C	-0.9164401195838026	1.672793234661252	0.3905806815209034	0.5069719304844982
92	A	-2.3659583329597536	-1.4391277438311376	0.36181666524244116	0.4085563223820465
92	B	3.1928456851332454	-0.08581209269680562	0.37963382120871203	0.3921595702998093
92	C	-0.919202613053202	3.3442687127928776	0.3861603742508033	0.6080356298250607
93	A	-4.518615718319048	-0.5516599373492417	0.34567351923857403	0.4041230326666785
93	B	2.8955370224377415	1.4491188495372291	0.37536400424842253	0.43035081835119987
93	C	-0.46788767990832786	1.8029647263552626	0.4028400999921879	0.5898666187768002
94	A	-0.001088698107365988	-1.403101424317763	0.3666619253259286	0.3850985953045739
94	B	3.9594681732406745	2.456856516529057	0.37148691727795036	0.43916485835144725
94	C	0.6411992217364033	3.05880623148218	0.3957140301922819	0.5828123548645721
95	A	-2.5736867186868757	1.6533840419902999	0.34716368376834045	0.43776472577295517
95	B	1.2493631008223753	1.7204275361849166	0.3635874079020165	0.4282495055728708
95	C	-1.2344821828070849	2.39009806438898	0.3678619634390205	0.5761011189563772
96	A	-2.427564462112006	-1.8954579476690612	0.3584262425597765	0.38853565067718554
96	B	2.6934358238898466	3.4317741937821835	0.3668916112495692	0.48289513863854716
96	C	0.46532297482966556	1.0879628027788455	0.3888736685383741	0.5809776162368815
97	A	-0.1557221866463508	-0.2358316300223069	0.37399351290737937	0.4179129771277606
97	B	7.365993418711996	0.8521023908137907	0.3770290753599561	0.4329880924688797
97	C	-0.0013522173601173376	0.257487990164325	0.39474600873852583	0.5381026723796225
98	A	-3.167410328341354	0.8380861651435397	0.35102484806174256	0.42631595361967456
98	B	4.007128846553799	2.4508678752527278	0.3816362776628571	0.45800013856449673
98	C	0.5627559177353338	2.093764887910126	0.40287406347994087	0.6020510410311053
99	A	-1.3093782729896315	1.610724287183643	0.3685516639995722	0.4519661128176182
99	B	1.647396801678059	1.7005651785076885	0.36001492473824365	0.43050601966604213
99	C	-2.2197041797790784	1.159255945074188	0.40005099854974974	0.5328793468348129
100	A	-2.287330827061302	-0.9782555270008488	0.35564373319221065	0.38292066308283584
100	B	0.8366743148673593	3.7431005193411724	0.3568896815631614	0.4386035100248714
100	C	-1.321692244722087	2.61728597084874	0.4028004622739594	0.605889658590939
