i,j,overlap,same_repeat
4,19,0.6742274780184028,0
4,20,0.7171297382535674,0
4,21,0.6452635590239918,0
4,22,0.6570381997646682,0
4,23,0.6241243667531483,0
4,24,0.6370018442338978,0
4,25,0.6384822136087455,0
4,26,0.6692897354726657,0
4,27,0.6228738101507468,0
4,28,0.6788053794551294,0
4,29,0.6496425972210835,0
4,30,0.6183979894869611,0
4,31,0.5888206528890098,0
4,32,0.6535645930159937,0
4,33,0.6753306000912946,0
4,34,0.7195285754426229,0
4,35,0.6163660112496663,0
4,36,0.7047900737162194,0
4,37,0.6508474331089922,0
4,38,0.6387541247915619,0
4,39,0.7205479525584946,0
4,40,0.6320615836847534,0
4,41,0.6486940351692796,0
4,42,0.6806227386964321,0
4,43,0.6248443596011881,0
4,44,0.6820137060872729,0
4,45,0.6755019600061514,0
4,46,0.676824210709915,0
4,47,0.6638272377736351,0
4,48,0.6917098242053146,0
4,49,0.6175369203202302,0
4,50,0.585607443477183,0
4,51,0.7144433007490669,0
4,52,0.6727338008559027,0
4,53,0.7152331395374769,0
4,54,0.6780025103868608,0
4,55,0.7052385366720068,0
4,56,0.6453071967002866,0
4,57,0.5945046576764041,0
4,58,0.6261474916662628,0
4,59,0.6178686780856966,0
4,60,0.6269280995325206,0
4,61,0.6848061370880416,0
4,62,0.6571925839471064,0
4,63,0.6641753043528127,0
4,64,0.6753543563806315,0
4,65,0.6940375930975989,0
4,66,0.6194001474370512,0
4,67,0.6656165891882029,0
4,68,0.7248661760426367,0
4,69,0.6047520835225083,0
4,70,0.6918267540432358,0
4,71,0.6580527703162743,0
4,72,0.6654771412356846,0
4,73,0.6183893530160374,0
4,74,0.6410282211825207,0
4,75,0.6055185878926557,0
4,76,0.6844259065016128,0
4,77,0.6787217359230047,0
4,78,0.7212107829020022,0
4,79,0.6422495925423137,0
4,80,0.6667662303154845,0
4,81,0.6568382574937278,0
4,82,0.6710431864784397,0
4,83,0.65706656149559,0
4,84,0.6350858037760663,0
4,85,0.6423213389491382,0
4,86,0.719207052091337,0
4,87,0.6933800311391347,0
4,88,0.6108531222931533,0
4,89,0.6274937501588208,0
4,90,0.5714021287910063,0
4,91,0.6830351358789173,0
4,92,0.7186599833251994,0
4,93,0.6380869058287032,0
4,94,0.6877423194590742,0
4,95,0.6173072021359587,0
4,96,0.7251273101741377,0
4,97,0.7098022743942352,0
4,98,0.6169348001896794,0
4,99,0.5960180459369393,0
5,6,0.6750715998304515,1
5,7,0.6648259456391153,1
5,8,0.5995001114834805,1
5,9,0.6873905725233769,1
5,10,0.6544289522675133,0
5,11,0.7193008812509161,0
5,12,0.6835180011918467,0
5,13,0.7201556110037568,0
5,14,0.7137355278879656,0
5,15,0.7306562883018095,0
5,16,0.5952544799508204,0
5,17,0.7364667616026526,0
5,18,0.7354069568753271,0
5,19,0.6375937434151172,0
5,20,0.6644805760115842,0
5,21,0.6878519357727256,0
5,22,0.7396913750506731,0
5,23,0.6620388513376451,0
5,24,0.6858058068116518,0
5,25,0.6449270867337248,0
5,26,0.7117169792149461,0
5,27,0.7342769620809018,0
5,28,0.6887081710815147,0
5,29,0.6328130057582155,0
5,30,0.6973514144000912,0
5,31,0.7366666244260665,0
5,32,0.6789252436283668,0
5,33,0.6773986007157284,0
5,34,0.6432735990569624,0
5,35,0.6941788969874512,0
5,36,0.7488539651398559,0
5,37,0.7349371857315503,0
