resample	n_good	n_poor	observed_centroid_distance	null_mean	null_sd	z_null	empirical_p	top256_overlap_with_v47_2	top256_jaccard_with_v47_2	pca16_cumulative_variance
142	66	10	8.478829869714499	4.867988755327506	1.4827163271157957	2.4352878890939715	0.029940119760479042	237	0.8618181818181818	0.8798141659899947
143	66	10	8.103979131729064	4.813906035759759	1.3881591930839297	2.3700978334192997	0.01996007984031936	234	0.841726618705036	0.8716226506681481
144	66	10	8.179364158505134	4.971155890015694	1.5281585747851363	2.0993948674080007	0.03992015968063872	231	0.8220640569395018	0.8774050089020491
145	66	10	7.539626109754505	4.860466861267924	1.5505703875106869	1.7278540013831623	0.05389221556886228	239	0.8754578754578755	0.8824046201502617
146	66	10	8.42786993217013	4.745124643970758	1.3865860782828225	2.6559802855947914	0.02594810379241517	240	0.8823529411764706	0.8814400840892148
147	66	10	7.631615116121573	4.764752934760487	1.4818911708074294	1.9345969783995913	0.05389221556886228	233	0.8351254480286738	0.8732159902343961
148	66	10	7.307890695967968	4.8714688128900505	1.3833845519514054	1.7612036216835698	0.05389221556886228	241	0.8892988929889298	0.8699714914376475
149	66	10	7.33559515496141	4.930316402127751	1.5405965892227689	1.561264493028069	0.07584830339321358	232	0.8285714285714286	0.8826223727939949
150	66	10	8.253654014647699	5.00143131288011	1.4887891708088887	2.1844749851321072	0.031936127744510975	238	0.8686131386861314	0.8809594473321565
151	66	10	9.049272465529844	4.951778933005945	1.6476732230111215	2.486836270262214	0.029940119760479042	234	0.841726618705036	0.8823792242641482
152	66	10	8.11481755146727	4.850183009854929	1.50404319409264	2.170572330924201	0.03992015968063872	232	0.8285714285714286	0.883998089413937
153	66	10	6.391187991254204	4.789716458073162	1.3646253746799932	1.1735613032672716	0.12375249500998003	237	0.8618181818181818	0.8749771931004933
154	66	10	8.74075438800519	4.816430689549954	1.3433861133493807	2.9212180023738408	0.011976047904191617	242	0.8962962962962963	0.8848498208912422
155	66	10	6.774755991808925	4.858097570721273	1.6140720425539612	1.1874677031484329	0.11377245508982035	235	0.8483754512635379	0.8806873870345269
156	66	10	8.297358331059405	4.993027746556597	1.674389932292627	1.9734534475959344	0.05588822355289421	241	0.8892988929889298	0.8864415768795131
157	66	10	6.970981971144215	4.884471047963644	1.5212823155198285	1.371547478002202	0.10578842315369262	231	0.8220640569395018	0.8675724330943888
158	66	10	9.428687935802415	4.908498696409952	1.5714600498339975	2.8764264416839342	0.015968063872255488	240	0.8823529411764706	0.8875813580514728
159	66	10	9.078523401871792	4.936016877789207	1.478287459816968	2.802233419875917	0.013972055888223553	241	0.8892988929889298	0.8864110695701002
160	66	10	7.847310518008532	5.04664374245422	1.587310370348142	1.7644103055535678	0.06187624750499002	235	0.8483754512635379	0.8810067507155959
161	66	10	8.870144429783789	4.924371914501221	1.4964917997341325	2.6366816817730476	0.017964071856287425	238	0.8686131386861314	0.8839383628196006
162	66	10	9.31945940352796	4.918281028397586	1.5361925331519808	2.864991386268475	0.017964071856287425	237	0.8618181818181818	0.8825015003292223
163	66	10	8.15051533453981	4.90865048591223	1.4500795072261956	2.2356462748920745	0.023952095808383235	236	0.855072463768116	0.8796087182591477
164	66	10	8.81037499907596	4.890685894144723	1.393262635410378	2.8133167468290803	0.011976047904191617	241	0.8892988929889298	0.876914632009083
165	66	10	8.427413819494848	5.02258745976798	1.5684416545613846	2.170833929221951	0.043912175648702596	237	0.8618181818181818	0.8795028843860778
166	66	10	8.241531760843314	4.91124940906259	1.4601101073733176	2.280843297339935	0.031936127744510975	239	0.8754578754578755	0.8818401229163075
167	66	10	7.976266956754042	4.908919683003957	1.4659058878609672	2.092458526260456	0.03792415169660679	237	0.8618181818181818	0.8790220875008345
168	66	10	7.960384991008499	4.800564170208405	1.4197479925763012	2.2256209111211516	0.029940119760479042	240	0.8823529411764706	0.8802268399742945
169	66	10	9.09805467497216	4.876034882831797	1.5574876135644375	2.7107886800318917	0.01996007984031936	226	0.7902097902097902	0.8654469968689291
170	66	10	7.914128239394177	4.9977296641026925	1.7762284424304393	1.641905120774293	0.06786427145708583	237	0.8618181818181818	0.8846669587567899
171	66	10	6.999786864027673	4.91060926817664	1.490481549417762	1.401679609296166	0.08383233532934131	240	0.8823529411764706	0.8792286186119814
172	66	10	8.862489721129808	5.041238809235412	1.5480609853161884	2.468411095002122	0.023952095808383235	237	0.8618181818181818	0.8791867172332372
173	66	10	9.689574073171102	4.908413744947749	1.5610694599055486	3.0627466945081565	0.015968063872255488	235	0.8483754512635379	0.8915156090926354
174	66	10	7.595761996837748	4.916416842864146	1.4390400019291019	1.8618976195114878	0.05588822355289421	236	0.855072463768116	0.8787829906028778
175	66	10	7.8713152290780375	4.941223662249065	1.5391062021009632	1.9037617825392679	0.05788423153692615	235	0.8483754512635379	0.8878003891769718
176	66	10	7.5145176373242535	4.848207902656382	1.5441180723112764	1.7267524954726223	0.06187624750499002	231	0.8220640569395018	0.8671522384099151
177	66	10	9.621876465233138	5.002263742152099	1.5636599069851724	2.954359002519878	0.013972055888223553	235	0.8483754512635379	0.8849202772168707
178	66	10	7.616182141441322	4.954542132714054	1.555967981035279	1.7106007586070757	0.06786427145708583	241	0.8892988929889298	0.8817693136194178
179	66	10	6.807647510659726	4.935897205556104	1.5590530521491726	1.20056870580728	0.12375249500998003	242	0.8962962962962963	0.882041972505953
180	66	10	9.650582272626846	4.932569263738518	1.462717787778486	3.2255114748100837	0.011976047904191617	233	0.8351254480286738	0.870729397237242
181	66	10	9.325149015234924	4.860697372687095	1.5567019214411941	2.86789113641913	0.017964071856287425	237	0.8618181818181818	0.8877432276979378
182	66	10	8.042669121161536	4.787661224502158	1.3923135738245591	2.337841099773355	0.033932135728542916	238	0.8686131386861314	0.8746934070864778
183	66	10	8.274399291421892	4.93374718885669	1.4349168923768423	2.32811539142984	0.021956087824351298	237	0.8618181818181818	0.8847092151444598
184	66	10	9.624237590310958	4.944451343633976	1.627792201924416	2.874928532735581	0.01996007984031936	234	0.841726618705036	0.8900786645691984
185	66	10	7.394153417485758	4.933094892021653	1.401833283403369	1.7556000093599937	0.0658682634730539	240	0.8823529411764706	0.8737086680207773
186	66	10	8.514276756390167	4.86678731689471	1.421082464401439	2.5666979439027715	0.021956087824351298	235	0.8483754512635379	0.8805010817718517
187	66	10	7.686003241876006	4.976089058714057	1.516261649501956	1.7872338748738188	0.05788423153692615	238	0.8686131386861314	0.8898568248162918
188	66	10	7.798771818111971	4.84061509516984	1.4659532624531693	2.017906572268113	0.043912175648702596	240	0.8823529411764706	0.8833090136390953
189	66	10	8.275814171491175	4.921129448804416	1.6122697013953082	2.0807218046605422	0.043912175648702596	237	0.8618181818181818	0.8878117135237948
190	66	10	8.310618473357103	4.887810582337084	1.4871955259472958	2.3015184159055346	0.029940119760479042	238	0.8686131386861314	0.8886500617880599
191	66	10	7.037166249594408	5.005371328450068	1.5825584697126251	1.2838672061913081	0.10778443113772455	240	0.8823529411764706	0.8841465026984414
192	66	10	7.835924884536316	4.999521614254041	1.5443162496716019	1.8366725538797086	0.04790419161676647	236	0.855072463768116	0.8776452227623586
193	66	10	9.040558281882513	4.9562157395201645	1.594103336848012	2.5621566983469437	0.02594810379241517	231	0.8220640569395018	0.8724641966008277
194	66	10	7.396568627284422	4.990325914378218	1.5890787268327218	1.5142375719182999	0.09381237524950099	231	0.8220640569395018	0.8794166248008439
