gene	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16
SIGLEC1	-0.0110159574484473	0.12849734640777416	0.11058927738013563	0.0525979624721092	0.016179580556362934	0.03326383981785841	0.025284394982311425	-0.020799742812978424	0.014861089091012135	-0.00915956064624027	0.06711255694617956	-0.015626099631079964	0.007953143556266412	-0.04013480937504732	0.021427946094093327	-0.04533176022137828
PCOLCE2	0.08166557451523902	0.02211792304202095	0.00818265518826745	0.009307178664362013	0.039848842541820875	0.046736548002928244	0.05067151726688987	-0.0317091489877535	0.009318860458132919	-0.06779493061237733	-0.07325543794644505	0.050616227649447634	0.012165512368495517	-0.009630846411021264	0.005864727563156146	-0.009137241580459839
USP18	-0.012581088380906467	0.1196975642321441	0.12289007315450709	0.08586890784838208	-0.004304441693478236	-0.015662649501466078	-0.0029976736351273016	-0.029104207607661758	-0.008712608133785058	0.0025467950503440247	0.03754655996019176	-0.02902264374715743	-0.003684829915493566	-0.018313262987680417	0.014586414674906288	-0.0229554661233541
IFIT1	-0.01945434339502962	0.12025409492867355	0.12160926282981796	0.05968744621961522	0.02281474078463703	-0.04318695321824159	-0.03900946089830499	0.02054079413947533	0.033711231080628	0.031603471701864415	-0.023134097908963147	0.00813650073845354	0.04623009918101173	0.0014498520380415282	-0.052322586241751644	0.07771257947630293
CHIT1	0.07112257427165093	0.04775570757954531	0.001997855967889536	-0.030630584060159713	0.09015776077227314	-0.014764961607171521	-0.06421303169223311	-0.05958228579537814	-0.03100162665865062	-0.03218932896261048	0.021852211662615053	0.07511915441901511	0.05687475768559335	0.020986087889304478	0.04481967382265557	0.044349876192034475
MMP8	0.08232664216406005	0.018009348460925396	0.021015968779249397	-0.033348523022230056	0.10597896794665251	-0.041948911195032815	-0.01597783847703927	-0.013220314447237431	0.04851593543930863	0.028934684165628364	-0.059186731448587715	-0.0009203628789921722	0.018350995520687214	0.00547522824659875	0.006582518288377529	-0.029406224251248954
CD177	0.05362773050980852	-0.0008290101485600043	0.017116365422744893	-0.03060513127958033	0.07705678829540072	0.029097936796046442	-0.11820031105613676	-0.022628532265078008	-0.1399169868704835	0.13957650942128094	-0.021057571832082296	0.14711533804979807	-0.0035787323216998623	0.12559873320602058	0.02178034506016796	0.04935340056789621
CEACAM6	0.08336403937193353	0.008637052675955633	0.0019217085944506435	-0.009037425258983633	0.12175886562832526	-0.026137692332233144	0.06369659610318514	0.0015102743616732595	0.07350453975381019	-0.030674412765991924	-0.007261093074469482	-0.03868311420884128	-0.03202589870704737	-0.045738771211608735	-0.04180843832103285	-0.03986728651760473
CRISP2	0.08327829644267358	0.024707559381572115	0.015182453740871451	-0.03654597829558693	0.07075360580851295	-0.06105048923815071	-0.033320494303924225	0.004316717300460323	-0.014747022973776013	0.08368982956510337	-0.004845771025380179	-0.008087588046039151	-0.01614827607419231	0.062316366812475536	0.04983332258364102	-0.030835524703178244
IFI44	-0.00878557102667827	0.12285421577132877	0.12872295595661074	0.0470218389892538	5.016925957447491e-05	-0.032621242848960695	-0.0010429453440027653	0.05260368556479228	0.024319742342267157	0.03793648773721381	-0.0354372509332105	-0.00034969865424789106	-0.022582163719431045	0.030098102544116937	-0.038011863452058106	-0.010049499039058314
