gene	subspace_leverage	projector_mass_fraction	effective_gene_beta	abs_effective_gene_beta	classifier_weight_share	leverage_rank_desc	abs_beta_rank_desc	weight_share_rank_desc
CEBPE	0.0450420981418276	0.002815131133864225	0.21721406612334837	0.21721406612334837	0.010372523528581196	176	26	26
CX3CR1	0.04495639575338217	0.0028097747345863858	-0.03544431861081721	0.03544431861081721	0.0002761860897873383	177	186	186
KLF9	0.04477415982892954	0.002798384989308096	0.026565552104492397	0.026565552104492397	0.0001551480173684885	178	202	202
FGFBP2	0.04467808776522523	0.002792380485326577	0.010823779162786887	0.010823779162786887	2.5755286385006936e-05	179	232	232
DEFA4	0.04420755288479951	0.0027629720552999693	0.08006591869514801	0.08006591869514801	0.001409301519618754	180	132	132
NCAPG	0.043913109314448744	0.0027445693321530465	-0.004267473412105344	0.004267473412105344	4.003595438522537e-06	181	251	251
STOX2	0.04366932887985998	0.0027293330549912486	-0.00020216320439209743	0.00020216320439209743	8.984889975405962e-09	182	256	256
PITX1	0.04295487458343477	0.002684679661464673	-0.29446931831801065	0.29446931831801065	0.019062885518963808	183	9	9
KLRF1	0.04220176749581469	0.002637610468488418	0.02635191325076438	0.02635191325076438	0.00015266266591460544	184	203	203
EGR2	0.04216937472650776	0.002635585920406735	0.06692435909600189	0.06692435909600189	0.0009846388775217945	185	150	150
ABCA13	0.04172989693726488	0.002608118558579055	-0.17170926612679133	0.17170926612679133	0.006481805604080213	186	47	47
CRISP3	0.041615294872726846	0.002600955929545428	-0.02580400662863829	0.02580400662863829	0.00014638036554952768	187	205	205
TCN1	0.041373893158381754	0.0025858683223988596	-0.1192531995161792	0.1192531995161792	0.0031264293380977187	188	93	93
LTF	0.041294105179772805	0.0025808815737358003	0.0064566388985636824	0.0064566388985636824	9.16476923868228e-06	189	244	244
CD8A	0.04101362628592865	0.002563351642870541	-0.2510955601927828	0.2510955601927828	0.013860746003187341	190	15	15
PVRIG	0.04040380331667958	0.0025252377072924738	0.03160133847835008	0.03160133847835008	0.00021954294872258628	191	195	195
CEACAM3	0.04005004895789759	0.0025031280598685995	0.04494282670204124	0.04494282670204124	0.00044404737394639516	192	175	175
CHIT1	0.03982914982776281	0.0024893218642351757	0.03896743118406186	0.03896743118406186	0.0003338197995641493	193	182	182
PLSCR1	0.03957212129170474	0.002473257580731546	-0.02440257859816337	0.02440257859816337	0.0001309121569000782	194	211	211
IRF8	0.039559703169126555	0.0024724814480704097	-0.0051279477980144764	0.0051279477980144764	5.780903618641556e-06	195	246	246
TGFBR3	0.03954760883664506	0.002471725552290316	0.1257130581644853	0.1257130581644853	0.0034743160339476198	196	85	85
VSTM1	0.03950776054393885	0.002469235033996178	0.11794905696500732	0.11794905696500732	0.003058422525711597	197	95	95
SERPINB10	0.03886278648828588	0.0024289241555178675	0.1401522684448713	0.1401522684448713	0.004318260132282503	198	68	68
ITK	0.03861210658671865	0.002413256661669916	-0.16394395913905718	0.16394395913905718	0.005908801157820527	199	53	53
CCR7	0.03843618053961805	0.0024022612837261282	0.036060928398418304	0.036060928398418304	0.0002858790596655441	200	184	184
MPO	0.038045647836048614	0.0023778529897530384	0.10866353115384215	0.10866353115384215	0.0025958295113296206	201	103	103
TK1	0.03743408258696814	0.002339630161685509	0.11242004736353	0.11242004736353	0.00277840828703836	202	101	101
AZU1	0.037320886030935765	0.0023325553769334853	0.12016588780285596	0.12016588780285596	0.0031744678765333557	203	90	90
GZMB	0.0367449484413864	0.00229655927758665	0.01996760414897747	0.01996760414897747	8.765172237446415e-05	204	221	221
CDCA5	0.03664424964000683	0.002290265602500427	-0.0075517871796365035	0.0075517871796365035	1.253741560541954e-05	205	242	242
THBS4	0.03654462644154098	0.0022840391525963113	0.10219912292698247	0.10219912292698247	0.002296163849546074	206	113	113
CD6	0.036506852937327985	0.002281678308582999	-0.1077501255386044	0.1077501255386044	0.0025523727978934577	207	104	104
IL2RB	0.036406225860394756	0.0022753891162746722	-0.0350211191633835	0.0350211191633835	0.00026963022807426854	208	188	188
BAG3	0.03610498484283634	0.0022565615526772714	-0.07350289671474075	0.07350289671474075	0.0011877292374956033	209	145	145
TOP2A	0.03600098402965523	0.002250061501853452	-0.16184034369736242	0.16184034369736242	0.005758138701759451	210	55	55
CEACAM8	0.035868757562032505	0.0022417973476270316	0.013957825104500766	0.013957825104500766	4.282960234583222e-05	211	228	228
IL7R	0.03577844917485414	0.002236153073428384	-0.1050160013299361	0.1050160013299361	0.0024244849538687693	212	108	108
OLFM4	0.03563750421903124	0.0022273440136894524	-0.01299654568612714	0.01299654568612714	3.7133374139274614e-05	213	229	229
AURKB	0.03535195551239377	0.0022094972195246107	-0.1459219171589293	0.1459219171589293	0.004681118029882076	214	66	66
PTPN20	0.03526684012383051	0.002204177507739407	0.07591957195497956	0.07591957195497956	0.0012671150214078359	215	140	140
BPI	0.03419949853554514	0.002137468658471571	0.03914772247623688	0.03914772247623688	0.0003369159252374056	216	181	181
MMP8	0.03406838693911791	0.0021292741836948692	0.05577952666582568	0.05577952666582568	0.0006840032842779994	217	162	162
PRG2	0.034009681596886374	0.0021256050998053984	0.029714154705505043	0.029714154705505043	0.0001941043633248119	218	198	198
SUCNR1	0.03397746596109329	0.0021235916225683304	0.12013327014396374	0.12013327014396374	0.003172744764269555	219	91	91
SPOCK2	0.03395493424754351	0.0021221833904714695	-0.02285411506677503	0.02285411506677503	0.00011482523875187046	220	216	216
GZMA	0.033878986448302534	0.0021174366530189084	-0.13308214474176977	0.13308214474176977	0.0038935711960929966	221	79	79
GZMK	0.03312183570381548	0.0020701147314884675	-0.06888649073276928	0.06888649073276928	0.001043221815063296	222	147	147
HP	0.03286648803542628	0.0020541555022141425	-0.047204729649058356	0.047204729649058356	0.0004898685600511788	223	169	169
APOBEC3B	0.032852308115717425	0.002053269257232339	0.0780387079843674	0.0780387079843674	0.0013388399993880344	224	136	136
CEACAM6	0.03244457332176321	0.0020277858326102007	0.06333223767243826	0.06333223767243826	0.0008817758568844346	225	155	155
CCNB2	0.03217932280284369	0.0020112076751777307	-0.15652616212299753	0.15652616212299753	0.0053861992059821145	226	58	58
COL17A1	0.032164275738601436	0.0020102672336625898	0.023098321339864863	0.023098321339864863	0.00011729226571599043	227	214	214
PRKCH	0.032056327693643825	0.002003520480852739	0.07701989695952999	0.07701989695952999	0.0013041105381537907	228	139	139
RETN	0.03156414642083899	0.001972759151302437	-0.0007465352866969643	0.0007465352866969643	1.225206292819943e-07	229	255	255
GBP5	0.031540330541870616	0.0019712706588669135	0.00940995176340848	0.00940995176340848	1.9466296416721612e-05	230	236	236
CD7	0.031392381798052336	0.001962023862378271	0.06393396944448171	0.06393396944448171	0.000898611301183709	231	154	154
CD24	0.03138568204234468	0.0019616051276465426	0.00504993331098905	0.00504993331098905	5.606345051475867e-06	232	248	248
