null_rep	roc_auc
259	0.8828698096885812
260	0.8975
261	0.7891284602076124
262	0.845211937716263
263	0.8686613321799307
264	0.9393425605536331
265	0.9094788062283736
266	0.7783650519031142
267	0.9088429930795847
268	0.9166976643598617
269	0.881976643598616
270	0.9536829584775086
271	0.7875064878892734
272	0.9458607266435984
273	0.9507504325259515
274	0.9022750865051904
275	0.8844831314878894
276	0.8437954152249135
277	0.8509385813148789
278	0.9730384948096885
279	0.7817668685121107
280	0.9569571799307959
281	0.879597750865052
282	0.7442711937716264
283	0.820715830449827
284	0.8980384948096884
285	0.9114684256055361
286	0.8618468858131487
287	0.909284169550173
288	0.9037824394463668
289	0.9502465397923875
290	0.7505730968858131
291	0.8661937716262976
292	0.9366695501730102
293	0.9184580449826989
294	0.9399545847750865
295	0.9013775951557093
296	0.9704822664359863
297	0.9031531141868512
298	0.7000302768166091
299	0.8043944636678201
300	0.9449826989619378
301	0.9464446366782008
302	0.8870177335640139
303	0.8538321799307957
304	0.8989900519031141
305	0.9084407439446366
306	0.8978784602076124
307	0.9215960207612456
308	0.8310834775086506
309	0.9460964532871973
310	0.8646972318339098
311	0.8628806228373702
312	0.9400843425605535
313	0.8708001730103806
314	0.7951816608996541
315	0.932268598615917
316	0.932478373702422
317	0.8008888408304499
318	0.8553460207612454
319	0.8036332179930795
320	0.8217538927335639
321	0.8300324394463668
322	0.9185099480968859
323	0.8810467128027681
324	0.9049913494809688
325	0.7935445501730104
326	0.8458650519031141
327	0.9089943771626297
328	0.9264770761245674
329	0.7476643598615915
330	0.8529865916955016
331	0.8964424740484429
332	0.8307136678200693
333	0.8238711072664359
334	0.8447556228373702
335	0.9274134948096885
336	0.8747642733564013
337	0.9153114186851209
338	0.8905471453287197
339	0.9863992214532871
340	0.9326319204152249
341	0.9230255190311419
342	0.8924178200692041
343	0.8153265570934255
344	0.8560272491349482
345	0.7287045847750865
346	0.8072642733564015
347	0.8907569204152249
348	0.8408737024221452
349	0.8804714532871971
350	0.851009948096886
351	0.9237975778546712
352	0.8264381487889273
353	0.7968382352941173
354	0.8727854671280276
355	0.9217409169550173
356	0.8280211937716263
357	0.7125324394463668
358	0.8395934256055362
359	0.8736937716262976
360	0.7511634948096885
361	0.8445804498269897
362	0.7984147923875433
363	0.8673140138408304
364	0.8169701557093425
