null_rep,panel,GSE10846_to_GSE87371__corr_structure_similarity,GSE10846_to_GSE87371__top4_eigensubspace_overlap,GSE10846_to_GSE87371__top8_eigensubspace_overlap,GSE10846_to_GSE87371__eigenvalue_profile_cosine,GSE10846_to_GSE31312__corr_structure_similarity,GSE10846_to_GSE31312__top4_eigensubspace_overlap,GSE10846_to_GSE31312__top8_eigensubspace_overlap,GSE10846_to_GSE31312__eigenvalue_profile_cosine,GSE87371_to_GSE31312__corr_structure_similarity,GSE87371_to_GSE31312__top4_eigensubspace_overlap,GSE87371_to_GSE31312__top8_eigensubspace_overlap,GSE87371_to_GSE31312__eigenvalue_profile_cosine
32,PSMA8|MAGEB1|FAM129C|NLRP4|TCL1B|PLA2G2A|LOC105372840|AP3D1|DNER|LOC101930415|S100A8|GPM6A|ZIC2|VPREB3|PITX1|CILP,0.7575860261219783,0.7955041868194881,0.7012567014317779,0.9983780411430895,0.5982221657438183,0.5865686399857332,0.7052572258403225,0.9821285520928627,0.7308413772996051,0.628986428399724,0.7129963275295046,0.9870011905083063
33,MATN3|ZPBP2|AQP9|ZYG11A|NPY1R|KDM5D|CT45A8///CT45A9///CT45A10///CT45A7///CT45A2///CT45A1///CT45A6///CT45A5///CT45A3|STEAP2|LOC283454///HRK|XK|AICDA|MARCO|CILP|CD163|LINC01268|LOC100996809///HLA-DRB5///HLA-DRB4///HLA-DRB3///HLA-DRB1,0.8536590652726963,0.7251035159187603,0.7661976202515706,0.9958299721427494,0.7363067864650183,0.5890742066044947,0.6797330249371967,0.9755523681750378,0.7652890003748843,0.6800058129815176,0.7171844967858333,0.973433725600655
34,LEP|AQP9|COMP|AICDA|KRT14|IGHV3-23///IGHV4-31///IGHM///IGHG3///IGHG1///IGHD///IGHA1///IGH|FAM167A-AS1|SMC3|ZNF257|EML6|IGHD|ICOS|C17orf99|KCNH8|NPIPA5///NPIPB6///NPIPB8///NPIPB3|PABPC5,0.4705649167867467,0.6057569185032871,0.6946939225955724,0.9963194000940292,0.32829120872426054,0.6194646484911059,0.6275438858680727,0.9858487028676708,0.6053194203319783,0.6380099072211869,0.6886725252699902,0.9900086889150161
35,LOC105375172|CAMP|RAB25|ICOS|LTF|SCARA5|LGSN|SUGCT|RASSF6|LOC101927811|CETP|HIST1H1B|LRRN1|HEPACAM2|LOC101930067|WISP2,0.5905841937528961,0.6608230239015709,0.7903639411604159,0.9987796637408357,0.3546953833930612,0.4187163305629181,0.6511782832211532,0.9848848502284228,0.42308077743257466,0.5259515460290953,0.6522059458867844,0.9827258634350343
36,USP9Y|MAGEA9B///MAGEA9|LOC101929272|HPDL|CCL17|CPXM1|LINC01297|MARCO|EML6|HLA-DQA1|MAL2|FABP4|ARL14|RASSF6|MIS18BP1|BIK,0.5288079086092579,0.5634800572818712,0.7120293587091359,0.9934104155937286,0.5271530233559286,0.44557218372895835,0.7521073023501068,0.9950566526263964,0.6137651398563387,0.5964643722063493,0.6853736401797903,0.9903650085546578
37,ABCG5|SPRR1B|SMC3|SAXO2|LILRA4|LOC100653057///CES1|MAGEA1|NLRP7|LGALS2|MAGEA6|CD163|FAM167A-AS1|TXLNGY|LOC283454///HRK|P2RY12|MME,0.623994072015641,0.6133882034279972,0.6902303793355377,0.995342544619768,0.5976713221417328,0.6610133332841955,0.6105146163146704,0.9887090706231287,0.5536136458264791,0.6480469613024995,0.6741610141965284,0.9918360458818042
38,VPREB3|TXLNGY|FCGR3B///FCGR3A|EPHB1|STAG3|CILP|CTTNBP2|ZPBP2|ARL14|HAGLROS|NCKAP5|C3orf67|MME|KLHL13|EYA2|SPIC,0.8401911766133695,0.5554499219140386,0.6913936247876897,0.9976499727852112,0.8670474794937494,0.5994765516741686,0.6871463115182935,0.9875214282420014,0.8216609674167152,0.6304091078499284,0.6808862264650741,0.9856924654016667
39,ADIRF|LOC100996809///HLA-DRB5///HLA-DRB4///HLA-DRB3///HLA-DRB1|PITX1|C7orf57|CTCFL|CHIT1|LOC101930067|HLF|PRAME|IL22RA2|HPDL|CLIP2|ICOS|FAR2P3///FAR2P2|LOC613266|MMP7,0.5897433388196208,0.5302542456661778,0.7076210941457357,0.992671707951912,0.15701799142529596,0.4574367509333935,0.5053718884051975,0.9911474966011319,0.27010455858089644,0.43658827465769406,0.5676731998482827,0.974451205285099
40,PSMA8|AQP9|LOC102725526///IGHV4-31///IGHM///IGHG3///IGHG2///IGHG1///IGHA2///IGHA1///IGH|SFRP2|XK|PXDNL|SPINK2|RAB25|LEP|AP3D1|LINC01021|SFRP4|GTSF1|FSTL5|MARCO|TRPM4,0.7093757760178871,0.7702505999912302,0.7360203617425612,0.9953093739410356,0.6705464781246118,0.6491289700427125,0.7243311819409158,0.982364131642842,0.6802602073212745,0.6871304547498338,0.7041429627710132,0.9851436572361284
41,GTSF1|PABPC5|LEP|FCRL4|HEPACAM2|TCL1A|HSF5|MT1M|CILP|XK|LOC283454///HRK|HAGLROS|HK3|RPS4Y1|CCDC110|C3orf67,0.6838045075738196,0.5505084611776325,0.7487031301568905,0.996954582715651,0.5501882272331374,0.6289547305310605,0.661564107787506,0.9946633060475496,0.5419665788434729,0.6244373056452193,0.7185748101311634,0.9895106694207944
