resample,real_subspace_capture,null_subspace_capture,delta_subspace_capture,real_corr_neighborhood,null_corr_neighborhood,delta_corr_neighborhood,real_exact_overlap,null_exact_overlap,delta_exact_overlap
167,0.27023874757038135,0.14449461220125134,0.12574413536913,0.3847666364492272,0.28508517734125927,0.09968145910796794,0.1875,0.0,0.1875
168,0.4444099390956161,0.1532570707654316,0.2911528683301845,0.5708684227718586,0.2888340619144638,0.28203436085739475,0.375,0.0,0.375
169,0.390701440881794,0.13604744260795346,0.2546539982738405,0.49295382010981825,0.25720195881673946,0.2357518612930788,0.3125,0.0,0.3125
170,0.39749614904127656,0.2664821544195718,0.13101399462170477,0.5193339336320256,0.4457596330659183,0.07357430056610731,0.3125,0.125,0.1875
171,0.19781808415279933,0.18832507277709587,0.009493011375703464,0.30897575686507484,0.332664120293991,-0.02368836342891617,0.0625,0.0625,0.0
172,0.3213632590208684,0.1361921697938515,0.1851710892270169,0.456810021387661,0.28435541896220584,0.17245460242545518,0.25,0.0,0.25
173,0.3700930541247963,0.16915399904332779,0.20093905508146853,0.5095000659326208,0.3436402000578717,0.16585986587474905,0.3125,0.0,0.3125
174,0.36103465428323334,0.18854994966203897,0.17248470462119436,0.4684922655371526,0.33413768363409463,0.134354581903058,0.3125,0.0625,0.25
175,0.2819715879880411,0.2284047880070162,0.053566799981024926,0.39809219577203525,0.37588871653479083,0.022203479237244417,0.1875,0.0625,0.125
176,0.2749444174485232,0.19274398927481648,0.08220042817370674,0.4067383554889209,0.35264084552268404,0.054097509966236856,0.1875,0.0625,0.125
177,0.21044260607069928,0.2280165801852853,-0.017573974114586027,0.3742224224352581,0.38813095495288774,-0.013908532517629635,0.0625,0.125,-0.0625
178,0.31801180053846967,0.2648631347921266,0.05314866574634308,0.4284359598902846,0.3712994033748339,0.05713655651545069,0.25,0.1875,0.0625
179,0.1859140600121552,0.13644198088442133,0.04947207912773388,0.30388319484690307,0.25234664267391965,0.05153655217298342,0.0625,0.0,0.0625
