geometry_angstrom,method,seed,k,captured_probability_mass,absolute_energy_error_hartree,selected_subspace_energy_hartree,exact_sector_energy_hartree,precision_at_k,recall_at_k,ndcg_at_k,selection_efficiency,overlap_with_real
0.75,RANDOM,25043000,4,0.016405486275795324,0.5803979358747808,-4.6221810410714435,-5.202578976946224,0.0,0.0,0.007425298639550574,0.004101371568948831,1
0.75,NULL,25043001,4,0.0008325799610926424,1.4909657518764092,-3.711613225069815,-5.202578976946224,0.0,0.0,0.00030054735316277514,0.0002081449902731606,0
0.75,RANDOM,25043001,4,0.0015778874316394482,2.093004575152643,-3.1095744017935814,-5.202578976946224,0.0,0.0,0.0007864218246759979,0.00039447185790986205,0
0.75,NULL,25043002,4,6.644306364814647e-05,2.992175356321167,-2.2104036206250575,-5.202578976946224,0.0,0.0,2.0422400980683416e-05,1.661076591203662e-05,0
0.75,RANDOM,25043002,4,1.3691020386022069e-06,1.4304093677111354,-3.772169609235089,-5.202578976946224,0.0,0.0,6.161539386478411e-07,3.422755096505517e-07,0
0.75,NULL,25043003,4,0.0008269909898891737,0.895375280042388,-4.307203696903836,-5.202578976946224,0.0,0.0,0.0003755002700284512,0.00020674774747229342,0
0.75,RANDOM,25043003,4,0.0029999222468532747,0.581631586946366,-4.620947389999858,-5.202578976946224,0.0,0.0,0.0012299461420346616,0.0007499805617133187,0
0.75,NULL,25043004,4,1.4033570071426202e-29,0.5801158487658231,-4.622463128180401,-5.202578976946224,0.0,0.0,0.0,3.5083925178565506e-30,0
0.75,RANDOM,25043004,4,2.2243839943779755e-32,1.4331887223741875,-3.769390254572037,-5.202578976946224,0.0,0.0,0.0,5.560959985944939e-33,0
0.75,NULL,25043005,4,0.003370049404118964,2.0659694888665507,-3.1366094880796735,-5.202578976946224,0.0,0.0,0.0014017887138076826,0.000842512351029741,1
0.75,RANDOM,25043005,4,0.0007325013625169593,1.4862304084659383,-3.716348568480286,-5.202578976946224,0.0,0.0,0.00026082256490971034,0.0001831253406292398,0
0.75,NULL,25043006,4,0.0013295014999120732,1.2926523367720142,-3.90992664017421,-5.202578976946224,0.0,0.0,0.00081512108608787,0.0003323753749780183,0
0.75,RANDOM,25043006,4,3.659669737454523e-05,0.5688288504727135,-4.633750126473511,-5.202578976946224,0.0,0.0,1.1242705485731681e-05,9.149174343636307e-06,0
0.75,NULL,25043007,4,0.0013869815719037449,0.5809691490568056,-4.621609827889419,-5.202578976946224,0.0,0.0,0.0007729362746192874,0.0003467453929759362,0
0.75,RANDOM,25043007,4,1.4232979196819967e-29,0.5713713895961599,-4.631207587350064,-5.202578976946224,0.0,0.0,0.0,3.558244799204992e-30,0
0.75,NULL,25043008,4,1.5126078577823847e-29,0.4391653973577192,-4.763413579588505,-5.202578976946224,0.0,0.0,0.0,3.7815196444559616e-30,0
0.75,RANDOM,25043008,4,1.2619118473704792e-05,1.487155847333983,-3.7154231296122413,-5.202578976946224,0.0,0.0,4.500314141506494e-06,3.154779618426198e-06,0
0.75,NULL,25043009,4,0.016912288729011238,0.5689603343876417,-4.633618642558583,-5.202578976946224,0.0,0.0,0.005249337682719622,0.0042280721822528095,1
0.75,RANDOM,25043009,4,3.6596697374530986e-05,0.581631586946366,-4.620947389999858,-5.202578976946224,0.0,0.0,1.1242705485633271e-05,9.149174343632747e-06,0
0.75,NULL,25043010,4,0.0005741634396041052,0.5807629543714299,-4.621816022574794,-5.202578976946224,0.0,0.0,0.00025752464010037014,0.0001435408599010263,0
0.75,RANDOM,25043010,4,0.002684044814019353,0.8861461260076346,-4.31643285093859,-5.202578976946224,0.0,0.0,0.0016968209998277388,0.0006710112035048382,0
0.75,NULL,25043011,4,9.880914396500463e-06,1.430792818813034,-3.77178615813319,-5.202578976946224,0.0,0.0,3.5240399709037634e-06,2.470228599125116e-06,0
0.75,RANDOM,25043011,4,0.0027049281886364846,2.0659694888665507,-3.1366094880796735,-5.202578976946224,0.0,0.0,0.0010606801899730102,0.0006762320471591211,1
0.75,REAL,,8,0.9982024960051008,0.0037794029454794043,-5.198799574000745,-5.202578976946224,0.125,1.0,0.9999854432197623,0.1247753120006376,
0.75,NULL,25043000,8,0.002900450084046743,0.8895848512507056,-4.312994125695519,-5.202578976946224,0.0,0.0,0.0006968218883111978,0.00036255626050584285,1
