geometry_angstrom,method,k,n,captured_probability_mass_mean,captured_probability_mass_median,captured_probability_mass_std,captured_probability_mass_min,captured_probability_mass_max,absolute_energy_error_hartree_mean,absolute_energy_error_hartree_median,absolute_energy_error_hartree_std,absolute_energy_error_hartree_min,absolute_energy_error_hartree_max,precision_at_k_mean,precision_at_k_median,precision_at_k_std,precision_at_k_min,precision_at_k_max,recall_at_k_mean,recall_at_k_median,recall_at_k_std,recall_at_k_min,recall_at_k_max,ndcg_at_k_mean,ndcg_at_k_median,ndcg_at_k_std,ndcg_at_k_min,ndcg_at_k_max,selection_efficiency_mean,selection_efficiency_median,selection_efficiency_std,selection_efficiency_min,selection_efficiency_max,chemical_accuracy_fraction
1.0,RANDOM,2,12,0.00031315543062813256,2.4568927395332757e-36,0.0006984929868634218,1.3377198168225188e-41,0.0018750775031863183,3.2603142377495278,2.8652852010623198,2.0287039294835667,0.21837700821073014,6.490254418798551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018098063329379815,0.0,0.00041567517307530816,0.0,0.0013282278539047058,0.00015657771531406628,1.2284463697666379e-36,0.0003492464934317109,6.688599084112594e-42,0.0009375387515931592,0.0
1.0,RANDOM,4,12,0.0003162732622411614,3.980575226728933e-06,0.0006977239050617947,5.191749940659953e-41,0.0018776346971156243,2.2819832393535946,2.7440610817534434,1.3895253143658282,0.21837700821073014,5.37082599576572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000181783518705725,1.4035991620010217e-06,0.0004148769696965084,0.0,0.0013266090571306562,7.906831556029035e-05,9.951438066822333e-07,0.00017443097626544869,1.2979374851649881e-41,0.0004694086742789061,0.0
1.0,RANDOM,8,12,0.08221963713714305,1.4315718553210914e-05,0.2712628665216636,7.767667840664346e-10,0.9818938055986535,1.2830261231869977,0.838187404426332,0.9933930405477817,0.017091694580125605,2.6322364226022863,0.010416666666666666,0.0,0.03454817489953541,0.0,0.125,0.08333333333333333,0.0,0.2763853991962833,0.0,1.0,0.027800320445402083,4.858630334674274e-06,0.09146932990068335,2.7429952536698476e-10,0.3311667754681312,0.01027745464214288,1.7894648191513643e-06,0.03390785831520795,9.709584800830432e-11,0.12273672569983168,0.0
1.0,RANDOM,12,12,0.16412291651676356,2.0107888766346403e-05,0.36592455378798955,3.743760981331074e-07,0.9828132632336534,0.784010857314548,0.7172382833493112,0.786487543345987,0.017069208512241474,2.4457492713272977,0.013888888888888888,0.0,0.031056499687497085,0.0,0.08333333333333333,0.16666666666666666,0.0,0.3726779962499649,0.0,1.0,0.05018349115673701,6.911733271976531e-06,0.1124100519256218,7.9193440520744e-08,0.33113134237275743,0.013676909709730296,1.6756573971955336e-06,0.030493712815665805,3.119800817775895e-08,0.08190110526947111,0.0
1.0,RANDOM,16,12,0.1642007776047979,0.0004745373646218739,0.36588971990371116,3.743760981331074e-07,0.9828132634945395,0.5747986522419637,0.4121701467322323,0.6165162632041677,0.01706920851223792,2.3413353163508406,0.010416666666666666,0.0,0.023292374765622806,0.0,0.0625,0.16666666666666666,0.0,0.3726779962499649,0.0,1.0,0.0501972353940956,8.944632252313978e-05,0.11240306441851533,7.919293466730144e-08,0.3311292275527753,0.010262548600299869,2.965858528886712e-05,0.022868107493981948,2.3398506133319212e-08,0.061425828968408716,0.0
1.0,REAL,2,1,0.9911904230119404,0.9911904230119404,0.0,0.9911904230119404,0.9911904230119404,0.0050388734702728755,0.0050388734702728755,0.0,0.0050388734702728755,0.0050388734702728755,0.5,0.5,0.0,0.5,0.5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.4955952115059702,0.4955952115059702,0.0,0.4955952115059702,0.4955952115059702,0.0
1.0,REAL,4,1,0.9938281497458388,0.9938281497458388,0.0,0.9938281497458388,0.9938281497458388,0.00308798745987815,0.00308798745987815,0.0,0.00308798745987815,0.00308798745987815,0.25,0.25,0.0,0.25,0.25,1.0,1.0,0.0,1.0,1.0,0.9996336862666576,0.9996336862666576,0.0,0.9996336862666576,0.9996336862666576,0.2484570374364597,0.2484570374364597,0.0,0.2484570374364597,0.2484570374364597,0.0
1.0,REAL,8,1,0.9980554245101487,0.9980554245101487,0.0,0.9980554245101487,0.9980554245101487,0.0006535293369829276,0.0006535293369829276,0.0,0.0006535293369829276,0.0006535293369829276,0.125,0.125,0.0,0.125,0.125,1.0,1.0,0.0,1.0,1.0,0.9996194878202785,0.9996194878202785,0.0,0.9996194878202785,0.9996194878202785,0.12475692806376859,0.12475692806376859,0.0,0.12475692806376859,0.12475692806376859,1.0
1.0,REAL,12,1,0.9981022571623135,0.9981022571623135,0.0,0.9981022571623135,0.9981022571623135,0.0004948832518518742,0.0004948832518518742,0.0,0.0004948832518518742,0.0004948832518518742,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,1.0,1.0,0.0,1.0,1.0,0.9995220614049284,0.9995220614049284,0.0,0.9995220614049284,0.9995220614049284,0.08317518809685946,0.08317518809685946,0.0,0.08317518809685946,0.08317518809685946,1.0
1.0,REAL,16,1,0.9981357370964351,0.9981357370964351,0.0,0.9981357370964351,0.9981357370964351,0.0004181285659079492,0.0004181285659079492,0.0,0.0004181285659079492,0.0004181285659079492,0.0625,0.0625,0.0,0.0625,0.0625,1.0,1.0,0.0,1.0,1.0,0.9995216754049254,0.9995216754049254,0.0,0.9995216754049254,0.9995216754049254,0.062383483568527194,0.062383483568527194,0.0,0.062383483568527194,0.062383483568527194,1.0
