geometry_angstrom,method,seed,k,captured_probability_mass,absolute_energy_error_hartree,selected_subspace_energy_hartree,exact_sector_energy_hartree,precision_at_k,recall_at_k,ndcg_at_k,selection_efficiency,reaches_chemical_accuracy,overlap_with_real
1.2,RANDOM,25043000,4,3.642079089012399e-06,0.8557185983809372,-8.319655282114983,-9.17537388049592,0.0,0.0,1.287245614209445e-06,9.105197722530997e-07,False,0
1.2,RANDOM,25043001,4,3.5470231397204664e-07,3.0673820532990623,-6.107991827196858,-9.17537388049592,0.0,0.0,1.0798335199370144e-07,8.867557849301166e-08,False,0
1.2,RANDOM,25043002,4,3.6448613095814366e-06,2.699623503213102,-6.475750377282818,-9.17537388049592,0.0,0.0,2.5754745669073845e-06,9.112153273953592e-07,False,0
1.2,RANDOM,25043003,4,1.1935009771756323e-42,2.8145572175333937,-6.3608166629625265,-9.17537388049592,0.0,0.0,0.0,2.983752442939081e-43,False,0
1.2,RANDOM,25043004,4,0.0020785744561202545,0.8354110128615684,-8.339962867634352,-9.17537388049592,0.0,0.0,0.0014702523302970913,0.0005196436140300636,False,0
1.2,RANDOM,25043005,4,2.7088460895953004e-35,2.1418242656815005,-7.03354961481442,-9.17537388049592,0.0,0.0,0.0,6.772115223988251e-36,False,0
1.2,RANDOM,25043006,4,9.297205994388476e-06,0.2266549076680242,-8.948718972827896,-9.17537388049592,0.0,0.0,3.2857787313010626e-06,2.324301498597119e-06,False,0
1.2,RANDOM,25043007,4,2.7822205690202097e-09,3.0336437742716793,-6.141730106224241,-9.17537388049592,0.0,0.0,9.833384884944338e-10,6.955551422550524e-10,False,0
1.2,RANDOM,25043008,4,0.0020793772908181047,0.6080938191990786,-8.567280061296842,-9.17537388049592,0.0,0.0,0.0009283045068599396,0.0005198443227045262,False,0
1.2,RANDOM,25043009,4,7.476229331966744e-38,2.7703543887800386,-6.405019491715882,-9.17537388049592,0.0,0.0,0.0,1.869057332991686e-38,False,0
1.2,RANDOM,25043010,4,4.442480899713567e-09,5.34087278182152,-3.8345010986744006,-9.17537388049592,0.0,0.0,3.1402704722647326e-09,1.1106202249283917e-09,False,0
1.2,RANDOM,25043011,4,4.648177780394084e-06,2.7349191601215264,-6.440454720374394,-9.17537388049592,0.0,0.0,1.41506425057426e-06,1.162044445098521e-06,False,0
1.2,REAL,,8,0.9979990813560919,0.0004890799378536315,-9.174884800558067,-9.17537388049592,0.125,1.0,0.9995555603067476,0.12474988516951149,True,
1.2,EN2,,8,0.997999081356092,0.0004890799378518551,-9.174884800558068,-9.17537388049592,0.125,1.0,0.9996927105412693,0.1247498851695115,True,8
1.2,CHEM_EXCITATION,,8,0.9839427288081714,0.016815027638989122,-9.158558852856931,-9.17537388049592,0.125,1.0,0.9943158903447837,0.12299284110102142,False,1
