version,seed,family,group,energy,group_dim,K2_norm,K3_norm,K4_norm,K3_over_K2,K4_over_K2,slope_abs_K2,slope_abs_K2K3,slope_abs_K2K3K4,slope_rel_K2,slope_rel_K2K3,slope_rel_K2K3K4,smallest_lambda_rel_K2,smallest_lambda_rel_K2K3,smallest_lambda_rel_K2K3K4
v32.24,25042000,transverse,4,-1.9787294107422497,4,8.309670938201249,4.299453705094365e-11,2396.253695805109,5.174036056384497e-12,288.36926439397774,4.009161575296083,4.009161575295355,6.001556763300887,2.0013429051203206,2.001342905119592,3.993738093125124,2.5953373915040712e-05,2.595337391511133e-05,8.136958801113916e-10
v32.24,25042000,transverse,5,-1.976180619004873,4,1.8620478071958737,4.251089194350111e-11,2430.6334482574043,2.2830182865991945e-11,1305.3550176661602,3.9909197015891715,3.9909197015894406,5.996483910677081,2.026756219779854,2.0267562197801237,4.032320428867766,0.00011749215643864842,0.00011749215643852857,3.597087830494815e-09
v32.24,25042000,transverse,6,-1.966744402461952,4,5.755802136810337,2.8054334311859208e-11,1268.2224076823627,4.874096371805778e-12,220.33808277939985,4.005576196752566,4.005576196740865,5.996685125283549,1.9996595076706256,1.9996595076589256,3.990768436201608,1.9830416912706047e-05,1.983041691357296e-05,3.8270503112104594e-10
v32.24,25042000,transverse,7,-1.964430991862898,4,0.8725328228909717,2.91218954211573e-11,1175.7895419808956,3.337627497458197e-11,1347.559095926203,3.9938423185700804,3.993842318583006,6.002311015324201,2.031350813524861,2.0313508135377867,4.039819510278982,0.00012129254943281385,0.00012129254942696272,2.4780004634327767e-09
v32.24,25042000,transverse,8,-1.6921458564839145,4,8.370536948896214,1.6269174351029096e-11,1508.555902702724,1.9436237424618787e-12,180.22211859439324,4.005811188190894,4.00581118819025,6.0049033455621945,2.000961789641187,2.0009617896405416,4.0000539470124865,1.6220044425003607e-05,1.622004442504291e-05,3.167545140401933e-10
v32.24,25042000,transverse,9,-1.6886100349699225,4,4.3746835170717935,1.5632462994251688e-11,1609.8181390453146,3.573392894193937e-12,367.98505143586954,3.99445908820684,3.9944590882070523,5.995209538156663,2.0042209510008195,2.004220951001032,4.004971400950644,3.311912575072836e-05,3.311912575070252e-05,6.260382411707009e-10
v32.24,25042000,transverse,10,-1.6764420039566006,4,7.9361595572222665,8.314208903179873e-12,1525.4011494800973,1.0476363086240579e-12,192.20898199960115,4.0074201081556025,4.007420108157247,6.006859171907416,2.00222542816175,2.0022254281633955,4.001664491913565,1.7298939004057306e-05,1.7298939003950644e-05,4.2972023292303753e-10
v32.24,25042000,transverse,11,-1.6720595812293486,4,2.1267166840864298,8.986988624420261e-12,1537.1408086805916,4.225757333671733e-12,722.776484607727,3.9926132586194787,3.992613258617253,5.993063518352571,2.0119909133258527,2.011990913323626,4.012441173058947,6.505246872045383e-05,6.505246872099534e-05,1.647208064888121e-09
v32.24,25042000,transverse,12,-1.4639107662982664,4,5.158830350075908,1.0536041059506639e-11,296.01738898783753,2.042331370588996e-12,57.38071789538144,3.9977571794684144,3.9977571794655384,5.99800932591958,1.999272255005715,1.9992722550028414,3.9995244014568834,5.164251912305308e-06,5.164251912359714e-06,3.9361512443693316e-11
v32.24,25042000,transverse,13,-1.458412911542341,4,6.55214437495395,1.0788981322597328e-11,383.7830160328443,1.6466336370485053e-12,58.57365071195361,4.000870223033626,4.0008702230339654,6.000364068442475,1.9993306903560335,1.999330690356374,3.998824535764886,5.271616641828633e-06,5.271616641824088e-06,1.618382461658705e-11
