version,seed,family,target_group,partner_target_group,g,k,bar_g,bar_k,X_norm,partner_norm,anti_pair_residual,same_pair_residual,pair_sum_norm
v32.26,25042000,dephasing,32,31,1,58,62,5,6.062504467238617e-06,6.062504467240217e-06,0.00041123574642488856,1.9999999577210257,2.493118549789752e-09
v32.26,25042000,dephasing,32,31,1,59,62,4,1.3520648749556116e-05,1.3520648749554394e-05,0.0001888360817784351,1.999999991085106,2.553186332968675e-09
v32.26,25042000,dephasing,32,31,1,60,62,3,1.7140919720837622e-06,1.7140919720849097e-06,0.00017118686870389884,1.9999999926730947,2.9343003737170646e-10
v32.26,25042000,dephasing,32,31,1,61,62,2,8.738552166512724e-09,8.738552166731354e-09,0.00017695907576496445,1.9999999921463523,1.546366114948708e-12
v32.26,25042000,dephasing,32,31,1,62,62,1,4.340572644466135e-06,4.3405726443702905e-06,0.00012755201609422812,1.99999999591054,5.536487918051108e-10
v32.26,25042000,dephasing,32,31,1,63,62,0,0.00021292780504688182,0.00021292780504682824,0.0001259014429988428,1.9999999960369548,2.6807917909978706e-08
v32.26,25042000,dephasing,32,31,2,0,61,63,1.2842048788946288e-06,1.284204878892823e-06,0.003588661578000283,1.999996780373022,4.608576707169661e-09
v32.26,25042000,dephasing,32,31,2,1,61,62,1.6439922502996753e-09,1.6439922478766792e-09,0.006806309844347516,1.9999884170291855,1.1189520637245706e-11
v32.26,25042000,dephasing,32,31,2,2,61,61,2.4739177784211644e-16,3.265121729997195e-16,1.3385911598294815,1.164616672051981,4.3706630835413884e-16
v32.26,25042000,dephasing,32,31,2,3,61,60,5.801780697433348e-06,5.801780697540881e-06,0.05068841228360934,1.9993575680167937,2.9408305197603877e-07
v32.26,25042000,dephasing,32,31,2,4,61,59,0.0011310400051965253,0.0011310400051965951,9.383040259226762e-06,1.9999999999779279,1.0612593903555699e-08
v32.26,25042000,dephasing,32,31,2,5,61,58,0.0002321703110002745,0.00023217031100016247,0.0011386015835884572,1.9999996758960994,2.6434948376713713e-07
v32.26,25042000,dephasing,32,31,2,6,61,57,0.0001284034462230119,0.00012840344622243324,0.013372142640971581,1.999955295946178,1.7170291984864388e-06
v32.26,25042000,dephasing,32,31,2,7,61,56,0.000736506989214923,0.0007365069892139778,0.00012264822913561177,1.9999999962380697,9.033127797321142e-08
v32.26,25042000,dephasing,32,31,2,8,61,55,0.00019133435974614065,0.00019133435974611897,4.3687554061478924e-05,1.999999999522736,8.358930185227977e-09
v32.26,25042000,dephasing,32,31,2,9,61,54,2.735924249006456e-05,2.735924249004503e-05,0.005497097278262024,1.9999924454653966,1.503964174274446e-07
v32.26,25042000,dephasing,32,31,2,10,61,53,0.0003578016952777711,0.00035780169527779404,0.0008138582773989865,1.999999834408605,2.9119987136922253e-07
v32.26,25042000,dephasing,32,31,2,11,61,52,0.0016793577695804144,0.0016793577695803938,0.00010123117296876876,1.9999999974380502,1.7000335684884066e-07
v32.26,25042000,dephasing,32,31,2,12,61,51,4.247826925584821e-08,4.247826925734358e-08,0.0030801556730154257,1.9999976281236478,1.3083968203288358e-10
v32.26,25042000,dephasing,32,31,2,13,61,50,5.343467560737565e-06,5.343467560742319e-06,0.0007971641410871724,1.9999998411314368,4.259620728486319e-09
v32.26,25042000,dephasing,32,31,2,14,61,49,1.771064097500093e-06,1.7710640974992965e-06,0.006128445634787477,1.999990610516035,1.0853870037253267e-08
v32.26,25042000,dephasing,32,31,2,15,61,48,2.4985411248805426e-07,2.4985411248935763e-07,0.0010600229690075529,1.9999997190825902,2.64851098139716e-10
v32.26,25042000,dephasing,32,31,2,16,61,47,0.0013725901539998581,0.0013725901540000112,2.752288359318741e-05,1.9999999998105114,3.777763902969749e-08
v32.26,25042000,dephasing,32,31,2,17,61,46,9.799783714237521e-05,9.799783714224148e-05,0.015744713563751938,1.9999380250371102,1.5429478756739085e-06
v32.26,25042000,dephasing,32,31,2,18,61,45,1.6525624790354783e-05,1.652562479037814e-05,0.008869875212542077,1.9999803312302997,1.4658022969994593e-07
v32.26,25042000,dephasing,32,31,2,19,61,44,5.2176687189799215e-05,5.21766871898067e-05,0.0006406963784449522,1.9999998973768915,3.342941452176428e-08
v32.26,25042000,dephasing,32,31,2,20,61,43,1.8385312126289372e-06,1.8385312126260526e-06,0.002047612893138117,1.9999989518185166,3.764600215415869e-09
v32.26,25042000,dephasing,32,31,2,21,61,42,2.7045279153317284e-06,2.704527915328542e-06,0.001704693259855073,1.9999992735039123,4.610390508355889e-09
v32.26,25042000,dephasing,32,31,2,22,61,41,3.911346891787115e-05,3.9113468917880074e-05,0.00476036353868271,1.9999943347264928,1.8619433130807577e-07
v32.26,25042000,dephasing,32,31,2,23,61,40,2.235931144416502e-06,2.235931144406718e-06,0.0077096576739194385,1.9999851402350588,1.7238263705906157e-08
v32.26,25042000,dephasing,32,31,2,24,61,39,1.3961731904199628e-07,1.3961731902622943e-07,0.3683194476803715,1.9657926604829692,5.142377383616229e-08
v32.26,25042000,dephasing,32,31,2,25,61,38,4.235735944294486e-06,4.235735944232246e-06,0.23695955210840824,1.985912931275137,1.0036980922095071e-06
v32.26,25042000,dephasing,32,31,2,26,61,37,2.679484068239333e-05,2.679484068231261e-05,0.1682256023173183,1.9929124784377577,4.507578212792202e-06
v32.26,25042000,dephasing,32,31,2,27,61,36,5.015012995789904e-06,5.015012995881551e-06,0.26560239926072143,1.9822853895021901,1.3319994840298386e-06
