version,seed,family,g_minus,g_plus,E_abs,lambda,paired_gamma_response_residual,same_target_evenness_residual
v32.25,25042000,transverse,4,59,1.9787294107422513,0.001,2.4178805165319367e-13,8.829915354009242e-15
v32.25,25042000,transverse,4,59,1.9787294107422513,0.0003,2.418670489607738e-13,2.6105159529398783e-15
v32.25,25042000,transverse,5,58,1.9761806190048739,0.01,5.902308353909462e-13,4.2416948576757114e-13
v32.25,25042000,transverse,5,58,1.9761806190048739,0.003,5.42836486438723e-13,1.202697792602537e-13
v32.25,25042000,transverse,5,58,1.9761806190048739,0.001,5.486169685428388e-13,3.9665012409291915e-14
v32.25,25042000,transverse,5,58,1.9761806190048739,0.0003,5.528867273283838e-13,1.2221239460382572e-14
v32.25,25042000,transverse,6,57,1.966744402461953,0.01,2.8659316253656084e-13,1.382180007179968e-13
v32.25,25042000,transverse,6,57,1.966744402461953,0.003,2.728662873349551e-13,4.039937431821157e-14
v32.25,25042000,transverse,6,57,1.966744402461953,0.001,2.7250038801945693e-13,1.3594520747913746e-14
v32.25,25042000,transverse,6,57,1.966744402461953,0.0003,2.7297922230426904e-13,3.862654273394217e-15
v32.25,25042000,transverse,7,56,1.9644309918628977,0.01,1.3569772999732063e-12,9.691370367631385e-13
v32.25,25042000,transverse,7,56,1.9644309918628977,0.003,1.3800758871182846e-12,2.6744286679033255e-13
v32.25,25042000,transverse,7,56,1.9644309918628977,0.001,1.4252617839676944e-12,8.84362851793573e-14
v32.25,25042000,transverse,7,56,1.9644309918628977,0.0003,1.4472247301495552e-12,2.628095632136349e-14
v32.25,25042000,transverse,8,55,1.6921458564839147,0.01,2.7492898678815907e-13,8.955752016990962e-14
v32.25,25042000,transverse,8,55,1.6921458564839147,0.003,2.605100774224026e-13,2.6301444713103946e-14
v32.25,25042000,transverse,8,55,1.6921458564839147,0.001,2.587759341411075e-13,8.684029676665038e-15
v32.25,25042000,transverse,8,55,1.6921458564839147,0.0003,2.57983996388086e-13,2.527169909385855e-15
v32.25,25042000,transverse,9,54,1.6886100349699211,0.01,7.556777684510807e-13,1.7017774156602344e-13
v32.25,25042000,transverse,9,54,1.6886100349699211,0.003,7.27336071953882e-13,5.136921523334632e-14
v32.25,25042000,transverse,9,54,1.6886100349699211,0.001,7.201888184339668e-13,1.7436264628469744e-14
v32.25,25042000,transverse,9,54,1.6886100349699211,0.0003,7.179437189887495e-13,5.3715723139942136e-15
v32.25,25042000,transverse,10,53,1.6764420039565993,0.01,1.3904070062583926e-13,4.506691476086355e-14
v32.25,25042000,transverse,10,53,1.6764420039565993,0.003,1.3374622331884815e-13,1.3086371244814681e-14
v32.25,25042000,transverse,10,53,1.6764420039565993,0.001,1.3390640125823668e-13,4.412235176828496e-15
v32.25,25042000,transverse,10,53,1.6764420039565993,0.0003,1.3422093774418554e-13,1.4075109910033684e-15
v32.25,25042000,transverse,11,52,1.6720595812293473,0.01,4.404685552269968e-13,1.6406423892704572e-13
v32.25,25042000,transverse,11,52,1.6720595812293473,0.003,4.3359651909719356e-13,4.797718334700763e-14
v32.25,25042000,transverse,11,52,1.6720595812293473,0.001,4.342745184902077e-13,1.6423129166121046e-14
v32.25,25042000,transverse,11,52,1.6720595812293473,0.0003,4.3453784620902485e-13,5.5501992273073845e-15
v32.25,25042000,transverse,12,51,1.4639107662982664,0.01,2.288206708062769e-13,3.709162737395636e-14
v32.25,25042000,transverse,12,51,1.4639107662982664,0.003,2.1436750717094076e-13,1.134124798432989e-14
v32.25,25042000,transverse,12,51,1.4639107662982664,0.001,2.0969504177881204e-13,3.773946636532703e-15
v32.25,25042000,transverse,12,51,1.4639107662982664,0.0003,2.085130510877059e-13,1.2790236138557706e-15
v32.25,25042000,transverse,13,50,1.4584129115423414,0.01,1.3608148394851295e-13,2.6888847953879845e-14
v32.25,25042000,transverse,13,50,1.4584129115423414,0.003,1.3815918978229097e-13,8.017488911716641e-15
v32.25,25042000,transverse,13,50,1.4584129115423414,0.001,1.3960459560875189e-13,2.8743290137493187e-15
