version,n_qubits,dimension,seed,family,g_minus,g_plus,E_abs,prominence,S_group,A_group,C2_group,C_group,n_channels_mean,identity_residual_maxabs,n_groups,n_pairs
v32.22,7,128,25042007,transverse,2,61,3.3767037924921017,0.10589971726401365,0.8101326610925765,0.12101527198350162,0.9311479330760781,0.9649600681251418,63.0,0.0,64,32
v32.22,7,128,25042007,transverse,3,60,3.295829393112479,0.2934254356192646,0.7957516038121761,-0.10824811485937687,0.6875034889527993,0.8291583015038801,63.0,0.0,64,32
v32.22,7,128,25042007,transverse,4,59,2.9737941922141586,0.09638651738813764,0.6861968368221987,0.23866749307778265,0.9248643298999814,0.9616986689706819,63.0,0.0,64,32
v32.22,7,128,25042007,transverse,5,58,2.875501605371344,0.004206552671266822,0.6631525348189182,-0.20260699204158428,0.46054554277733395,0.6786350586120157,63.0,0.0,64,32
v32.22,7,128,25042007,transverse,6,57,2.811757336455175,0.24328489595557934,0.6511821417535939,0.11541012256028227,0.7665922643138762,0.8755525480026176,63.0,1.1102230246251565e-16,64,32
v32.22,7,128,25042007,transverse,7,56,2.7574529030817168,-0.3370344695608335,0.1279412192357421,0.7167740823180487,0.8447153015537908,0.9190839469568549,63.0,0.0,64,32
v32.22,7,128,25042007,transverse,8,55,2.7220686072416598,0.3124739107004714,0.6445836534962102,-0.07858864930651333,0.5659950041896968,0.752326394718208,63.0,1.1102230246251565e-16,64,32
v32.22,7,128,25042007,transverse,9,54,2.680329933562743,-0.19056347735318896,0.20207537189599623,0.3246192034478138,0.52669457534381,0.7257372633011274,63.0,0.0,64,32
v32.22,7,128,25042007,transverse,10,53,2.6614209254146797,-0.09203217272675568,0.19807003071200305,-0.17755107612560636,0.020518954586396687,0.14324438762617084,63.0,1.0408340855860843e-17,64,32
v32.22,7,128,25042007,transverse,11,52,2.6326297503664513,0.036121474424399974,0.14063248590006006,-0.02068325623946532,0.11994922966059475,0.3463368730883195,63.0,0.0,64,32
v32.22,7,128,25042007,transverse,12,51,2.512119394755678,0.1579736094847168,0.2848256348056562,-0.021912756832015802,0.2629128779736404,0.5127503076290061,63.0,0.0,64,32
v32.22,7,128,25042007,transverse,13,50,2.471271010500203,0.04755358028779669,0.27976112227607874,-0.06457357775727524,0.21518754451880348,0.46388311514734343,63.0,0.0,64,32
v32.22,7,128,25042007,transverse,14,49,2.43644647669292,0.18056793716380984,0.2593530515565272,-0.17195583590911734,0.08739721564740988,0.29563020083782016,63.0,2.7755575615628914e-17,64,32
v32.22,7,128,25042007,transverse,15,48,2.4050351505892653,-0.12479806364782223,0.29886453061710716,0.14104134833549292,0.4399058789526,0.6632540078677249,63.0,5.551115123125783e-17,64,32
v32.22,7,128,25042007,transverse,16,47,1.6269984419917036,-0.03656530340554606,0.0628803293227003,0.12025834682893713,0.18313867615163743,0.4279470483034524,63.0,0.0,64,32
v32.22,7,128,25042007,transverse,17,46,1.547344580796995,0.15582559892857048,0.06662479682006162,0.0030391969510220286,0.06966399377108365,0.2639393751812784,63.0,1.3877787807814457e-17,64,32
v32.22,7,128,25042007,transverse,18,45,1.4827840388609697,0.2550080797513734,0.0945912321491387,0.10455357872614521,0.1991448108752839,0.44625644071014137,63.0,2.7755575615628914e-17,64,32
v32.22,7,128,25042007,transverse,19,44,1.4241408101935946,-0.009624303670368456,0.09486528924182995,-0.0690351515084644,0.025830137733365552,0.16071757132736156,63.0,1.0408340855860843e-17,64,32
v32.22,7,128,25042007,transverse,20,43,1.0768831735510072,0.12372312608925717,0.18354500661803447,0.07384916544596454,0.257394172063999,0.5073402921747877,63.0,0.0,64,32
v32.22,7,128,25042007,transverse,21,42,1.0148068954073963,-0.040520239138744696,0.0938378532210844,0.2375386614553279,0.3313765146764123,0.5756531200961325,63.0,5.551115123125783e-17,64,32
v32.22,7,128,25042007,transverse,22,41,1.0142575933632765,-0.12226250595229607,0.17674141864422488,-0.1480724802891274,0.028668938355097498,0.16931904309645002,63.0,1.0408340855860843e-17,64,32
v32.22,7,128,25042007,transverse,23,40,0.9711603160389939,-0.016922251607611266,0.10047572708306751,-0.07929459680382914,0.021181130279238375,0.14553738447298817,63.0,6.938893903907228e-18,64,32
v32.22,7,128,25042007,transverse,24,39,0.8743378407815539,0.13666972890245233,0.09818462739158632,0.31696078488035734,0.4151454122719437,0.6443177882628599,63.0,5.551115123125783e-17,64,32
v32.22,7,128,25042007,transverse,25,38,0.8696434793414882,0.03235354883200375,0.11053921109575024,-0.04518519557761368,0.06535401551813656,0.25564431446471986,63.0,1.3877787807814457e-17,64,32
v32.22,7,128,25042007,transverse,26,37,0.8551326887696349,-0.011315982408627578,0.08947297280600564,-0.011417930772070373,0.07805504203393525,0.279383324545212,63.0,1.3877787807814457e-17,64,32
