version,seed,family,group,energy,group_dim,K2_norm,K3_norm,K4_norm,K5_norm,K6_norm,K3_over_K2,K5_over_K2
v32.25,25042000,transverse,8,-1.6921458564839145,4,8.370536948896214,1.6269174351029096e-11,1508.555902702724,6.745654447295294e-09,327334.36765568925,1.9436237424618787e-12,8.058807324403262e-10
v32.25,25042000,transverse,9,-1.6886100349699225,4,4.3746835170717935,1.5632462994251688e-11,1609.8181390453146,6.977278049579544e-09,338107.81587157596,3.573392894193937e-12,1.594921786307825e-09
v32.25,25042000,transverse,10,-1.6764420039566006,4,7.9361595572222665,8.314208903179873e-12,1525.4011494800973,4.53227657551782e-09,421025.63560779125,1.0476363086240579e-12,5.710919170461034e-10
v32.25,25042000,transverse,11,-1.6720595812293486,4,2.1267166840864298,8.986988624420261e-12,1537.1408086805916,5.110541843785638e-09,432469.14511601254,4.225757333671733e-12,2.4030195850844915e-09
v32.25,25042000,transverse,12,-1.4639107662982664,4,5.158830350075908,1.0536041059506639e-11,296.01738898783753,1.1578610563493932e-09,25068.91934233915,2.042331370588996e-12,2.2444255340405917e-10
v32.25,25042000,transverse,13,-1.458412911542341,4,6.55214437495395,1.0788981322597328e-11,383.7830160328443,1.3297867790026782e-09,13091.315061636027,1.6466336370485053e-12,2.0295443795254043e-10
v32.25,25042000,transverse,14,-1.4334527954745657,4,5.651038191788011,7.261673363730558e-12,206.8050422537408,5.382007600700215e-10,3828.61922775144,1.285015800155641e-12,9.523927140540747e-11
v32.25,25042000,transverse,15,-1.4275616977982162,4,6.593553103597548,6.77632538258669e-12,279.0905063417075,5.38361116505677e-10,9615.97762394273,1.0277198463586224e-12,8.164962169060843e-11
v32.25,25042000,transverse,16,-1.0939615772545643,4,1.5881619803530624,3.835535814351147e-13,36.51051509192388,3.3752441371898226e-11,3923.3822603578774,2.4150784754956e-13,2.1252518187341798e-11
v32.25,25042000,transverse,17,-1.0881648225246672,4,1.1087701021687182,3.5438682863115325e-13,51.95822074239795,6.542621457683881e-11,3713.299549534688,3.196215590030649e-13,5.900791737517748e-11
v32.25,25042000,transverse,18,-1.0741101228597911,4,0.9000294449297266,1.865774393157889e-13,18.7725720388035,5.870124171742727e-12,88.28099127205901,2.0730148370907653e-13,6.522146808431429e-12
v32.25,25042000,transverse,19,-1.0687765868124615,4,0.8300863090711154,1.6183514559035066e-13,21.2439663151974,1.818787662521658e-11,1332.3641957910093,1.9496182965774692e-13,2.191082593034116e-11
v32.25,25042000,transverse,20,-0.6587625915442124,4,36.57140058305071,1.1190143640268461e-10,1302.278938456948,7.719485431203956e-09,518586.3151036997,3.059807243328443e-12,2.1107984130040702e-10
v32.25,25042000,transverse,21,-0.6523641195267387,4,33.335566674789334,1.1841183187066693e-10,10785.212911547507,5.567358222672245e-08,1793842.720365135,3.552116963417879e-12,1.6700955699915152e-09
v32.25,25042000,transverse,22,-0.6353883011550365,4,37.59858210199095,1.487323554723031e-10,14276.610163550135,8.306102046845483e-08,931815.6855059417,3.955796925236372e-12,2.2091530005876606e-09
v32.25,25042000,transverse,23,-0.6293356210701319,4,41.819561292763375,1.4297030167868477e-10,2842.5118178425923,2.1439799864684264e-08,738093.4033060062,3.4187422646020183e-12,5.126739545303239e-10
v32.25,25042000,transverse,24,-0.2843715887463746,4,0.5943860319934443,5.995466163689213e-13,43.50973227682444,7.769931415119058e-11,3063.507856774099,1.0086822100414598e-12,1.3072197186499085e-10
v32.25,25042000,transverse,25,-0.28120544125656827,4,0.28098159706720593,6.182385872036315e-13,8.25259209235654,2.2653709990572086e-11,458.80888247598193,2.2002814193406395e-12,8.062346512022178e-11
v32.25,25042000,transverse,26,-0.26482062964046393,4,0.5324347757832546,5.611058652759031e-13,8.543716165877548,7.379393703231137e-12,307.6960316283756,1.0538490173758297e-12,1.385971397599913e-11
