version,seed,family,target_group,partner_target_group,target_energy,K3_norm,K3_reconstruction_residual,K3_pair_cancel_sum_norm,median_K3_anti_pair_residual,median_K3_same_pair_residual,median_K3_pair_sum_norm,median_K5_anti_pair_residual,median_K5_same_pair_residual,median_K5_pair_sum_norm,n_K3_pairs,n_K5_samples
v32.26,25042000,transverse,54,9,1.6886100349699211,3.7607214091703686e-11,0.0,4.838040068836891e-13,1.3160407991755997e-09,1.9999999998185536,1.7654936993460308e-16,1.0042598331540304e-09,1.99999999986612,2.1782895608435997e-18,2047,200
v32.26,25042000,transverse,55,8,1.6921458564839147,3.6547857949644085e-11,0.0,4.844303697172308e-13,1.5569735364672929e-09,1.9999999998304996,1.6801979648559753e-16,7.185007671756136e-10,1.9999999999073497,1.549045862534077e-18,2047,200
v32.26,25042000,transverse,56,7,1.9644309918628977,3.881121239599863e-11,0.0,5.56485025042185e-13,2.34236146787733e-09,1.99999999966339,1.8882300127579492e-16,1.2342034663805377e-09,1.9999999998270608,7.994599310814567e-19,2047,200
v32.26,25042000,transverse,57,6,1.966744402461953,3.8751980843861964e-11,0.0,5.606685271142823e-13,2.8779717979570515e-09,1.9999999994832696,1.8949418595746457e-16,1.6745416249019487e-09,1.9999999997412625,8.637003531660975e-19,2047,200
v32.26,25042000,transverse,58,5,1.9761806190048739,3.703189753403784e-11,0.0,4.752785438445398e-13,2.0192920603005458e-09,1.999999999756403,1.761312080387713e-16,1.4295659931466176e-09,1.999999999835878,7.527332485092663e-19,2047,200
v32.26,25042000,transverse,59,4,1.9787294107422513,3.6532459525750045e-11,0.0,4.692516182579874e-13,2.4625934542761728e-09,1.999999999691011,1.7326554712821234e-16,1.7797353161870096e-09,1.9999999998400502,5.408721023107026e-19,2047,200
v32.26,25042000,transverse,60,3,2.8428147436945483,4.435588255892984e-13,0.0,3.636250652230791e-13,5.335547055404449e-09,1.9999999994175777,1.122435545841206e-16,1.8966370629104097e-09,1.9999999996831557,1.1976092095578365e-19,2047,200
v32.26,25042000,transverse,61,2,2.8439494108712084,4.319697394295446e-13,0.0,3.641042333667341e-13,5.440315268467054e-09,1.9999999994066728,1.107680279161299e-16,2.2826485634425867e-09,1.9999999996872264,2.398164430116584e-19,2047,200
v32.26,25042000,transverse,62,1,2.87344508633917,2.124359499516865e-13,0.0,1.8644595122446448e-13,4.123279767941335e-09,1.9999999996216744,8.956901455426044e-17,1.9663229183075315e-09,1.9999999997938391,1.095495436931023e-19,2047,200
v32.26,25042000,transverse,63,0,2.874552422746733,2.1717592675284528e-13,0.0,1.8632127805686773e-13,3.9999001901486485e-09,1.9999999996921587,8.755064367823956e-17,1.5081361871555289e-09,1.9999999998462563,1.9715770648646164e-19,2047,200
