version,seed,family,group,lambda,exact_norm,k2_term_norm,k3_term_norm,k4_term_norm,abs_err_K2,abs_err_K2K3,abs_err_K2K3K4,rel_err_K2,rel_err_K2K3,rel_err_K2K3K4
v32.24,25042000,dephasing,18,0.001,3.704871293448361e-06,3.704696161483001e-06,2.7458361993987823e-10,1.7583073650263662e-10,3.2607743700536743e-10,1.7584111811633313e-10,2.145340201869454e-14,8.80131619098342e-05,4.746213948843187e-05,5.790593065036406e-09
v32.24,25042000,dephasing,18,0.0003,3.3342407302641545e-07,3.3342265453347005e-07,7.413757738376711e-12,1.4242289656713558e-12,7.549365851862712e-12,1.4242365333671593e-12,4.621145615486113e-17,2.264193398916525e-05,4.271546803563654e-06,1.3859663981490633e-10
v32.24,25042000,dephasing,19,0.01,0.00022805088305125117,0.00022994503419496493,1.6042997148431514e-07,1.907690419508211e-06,1.9028684551970142e-06,1.896262316607444e-06,1.162994484766977e-08,0.008344052124408445,0.008315084297135943,5.0997148934766924e-05
v32.24,25042000,dephasing,19,0.003,2.067962650211615e-05,2.0695053077546845e-05,4.331609230076509e-09,1.545229239801651e-08,1.6038550921028526e-08,1.5443917376399296e-08,9.713793211010209e-12,0.0007755725626566465,0.0007468180034498649,4.697276911658049e-07
v32.24,25042000,dephasing,19,0.001,2.299259798763913e-06,2.2994503419496492e-06,1.6042997148431513e-10,1.9076904195082115e-10,2.4923837112489365e-10,1.907575482530733e-10,2.3179135904921517e-14,0.00010839939499611342,8.296476472803333e-05,1.0081129551946532e-08
v32.24,25042000,dephasing,19,0.0003,2.0694898729118824e-07,2.069505307754684e-07,4.331609230076507e-12,1.5452292398016503e-12,4.59892625097159e-12,1.5452208603348596e-12,4.9591920928862775e-17,2.222251150473453e-05,7.466675148115857e-06,2.3963355210375736e-10
v32.24,25042000,dephasing,20,0.01,0.0003355780142026133,0.00033438471422315313,2.696191718671919e-07,1.2172724313040484e-06,1.2528242114844215e-06,1.2233882462382955e-06,6.177846241088903e-09,0.0037333322162398834,0.003645615011893018,1.840956790857842e-05
v32.24,25042000,dephasing,20,0.003,3.010424649872675e-05,3.009462428008378e-05,7.27971764041418e-09,9.859906693562793e-09,1.226019182948061e-08,9.864343822156711e-09,4.566320980531569e-12,0.0004072578873548338,0.00032767283587629146,1.5168361648662094e-07
v32.24,25042000,dephasing,20,0.001,3.3439658880743085e-06,3.343847142231531e-06,2.6961917186719187e-10,1.2172724313040486e-10,2.95830087981134e-10,1.2173332717042076e-10,7.197573767986092e-15,8.846683784549424e-05,3.640387828253936e-05,2.152406456553587e-09
v32.24,25042000,dephasing,20,0.0003,3.0094720459889817e-07,3.0094624280083776e-07,7.279717640414179e-12,9.859906693562789e-13,7.346196468756111e-12,9.859951043383095e-13,1.0183616501824772e-17,2.4410249892658437e-05,3.2763059077170755e-06,3.383854824435892e-11
v32.24,25042000,dephasing,21,0.01,0.00019459182239425993,0.00019634699758592724,3.521778892474376e-08,1.7689138990310533e-06,1.7620741942498745e-06,1.7616859975819927e-06,7.68874301778109e-09,0.009055232499337814,0.009053237571374731,3.9512158954979256e-05
v32.24,25042000,dephasing,21,0.003,1.765696049606329e-05,1.7671229782733454e-05,9.508803009680813e-10,1.4328202582151533e-08,1.4354725421083133e-08,1.432290344011569e-08,7.2020057742444564e-12,0.0008129782826598945,0.0008111760482960277,4.0788479851048993e-07
v32.24,25042000,dephasing,21,0.001,1.9632937546386915e-06,1.9634699758592725e-06,3.521778892474375e-11,1.7689138990310537e-10,1.8035954415098267e-10,1.7688411721329204e-10,2.074751999333841e-14,9.186579630523735e-05,9.009559409811516e-05,1.056771048362888e-08
v32.24,25042000,dephasing,21,0.0003,1.767108703827273e-07,1.767122978273345e-07,9.50880300968081e-13,1.4328202582151526e-12,1.7196558183274934e-12,1.4328149561513378e-12,4.7335083546802435e-17,9.731465951149445e-06,8.108244575153137e-06,2.6786741214211817e-10
v32.24,25042000,dephasing,22,0.01,0.00029768311470487063,0.00029707423731170765,3.0939282497577753e-07,6.549786898848246e-07,7.270415124392186e-07,6.575329741678885e-07,2.720975306025891e-09,0.002442333731827628,0.002208835307369653,9.140509392759894e-06
