version,seed,family,group,lambda,leading_norm,exact_norm,abs_error,rel_error
v32.23,25042000,dephasing,16,0.01,0.00038981997514383863,0.0003916634227323853,1.8590077254569201e-06,0.004768887804610243
v32.23,25042000,dephasing,16,0.003,3.5083797762945476e-05,3.509865180543739e-05,1.5758869101214313e-08,0.00044917797120180614
v32.23,25042000,dephasing,16,0.001,3.898199751438386e-06,3.898383050620623e-06,2.643826178838376e-10,6.782172149754095e-05
v32.23,25042000,dephasing,16,0.0003,3.508379776294547e-07,3.508394622754202e-07,5.3409795383817655e-12,1.5223493119159292e-05
v32.23,25042000,dephasing,17,0.01,0.00024210925556859887,0.00024008330844114276,2.0288928800504545e-06,0.008380071531282665
v32.23,25042000,dephasing,17,0.003,2.17898330011739e-05,2.1773342942971462e-05,1.6677271280191522e-08,0.000765369394033128
v32.23,25042000,dephasing,17,0.001,2.4210925556859885e-06,2.4208888874857412e-06,2.2290787028146615e-10,9.206912381683309e-05
v32.23,25042000,dephasing,17,0.0003,2.178983300117389e-07,2.1789668021889207e-07,2.9460209068130013e-12,1.3520162851428414e-05
v32.23,25042000,dephasing,18,0.01,0.000370469616148303,0.0003722311976238504,1.7902218683140099e-06,0.00483230416282604
v32.23,25042000,dephasing,18,0.003,3.334226545334727e-05,3.335645782492396e-05,1.606516485903206e-08,0.00048182583398571254
v32.23,25042000,dephasing,18,0.001,3.7046961614830297e-06,3.704871293448361e-06,3.2607743714329825e-10,8.801732259003015e-05
v32.23,25042000,dephasing,18,0.0003,3.3342265453347265e-07,3.3342407302641545e-07,7.549365867240108e-12,2.2642030361743817e-05
v32.23,25042000,dephasing,19,0.01,0.00022994503419496222,0.00022805088305125117,1.9028684551952104e-06,0.008275318759794726
v32.23,25042000,dephasing,19,0.003,2.06950530775466e-05,2.067962650211615e-05,1.6038550921044156e-08,0.0007749944327731836
v32.23,25042000,dephasing,19,0.001,2.2994503419496217e-06,2.299259798763913e-06,2.4923837116960954e-10,0.00010839041253584508
v32.23,25042000,dephasing,19,0.0003,2.0695053077546594e-07,2.0694898729118824e-07,4.59892625874653e-12,2.2222345801742365e-05
v32.23,25042000,dephasing,20,0.01,0.00033438471422315313,0.0003355780142026133,1.2528242114851412e-06,0.0037466551495803826
v32.23,25042000,dephasing,20,0.003,3.0094624280083784e-05,3.010424649872675e-05,1.2260191829527109e-08,0.0004073881007924973
v32.23,25042000,dephasing,20,0.001,3.343847142231531e-06,3.3439658880743085e-06,2.9583008798270805e-10,8.846997945763888e-05
v32.23,25042000,dephasing,20,0.0003,3.0094624280083776e-07,3.0094720459889817e-07,7.346196468697315e-12,2.4410327905502147e-05
v32.23,25042000,dephasing,21,0.01,0.00019634699758592892,0.00019459182239425993,1.7620741942507809e-06,0.008974286421057343
v32.23,25042000,dephasing,21,0.003,1.7671229782733603e-05,1.765696049606329e-05,1.4354725421166024e-08,0.0008123218133461144
v32.23,25042000,dephasing,21,0.001,1.963469975859289e-06,1.9632937546386915e-06,1.8035954416065727e-10,9.185755136475927e-05
v32.23,25042000,dephasing,21,0.0003,1.76712297827336e-07,1.767108703827273e-07,1.7196558192533796e-12,9.73138734766292e-06
v32.23,25042000,dephasing,22,0.01,0.00029707423731170857,0.00029768311470487063,7.270415124393884e-07,0.0024473394900162
v32.23,25042000,dephasing,22,0.003,2.6736681358053772e-05,2.6741595621030457e-05,9.89860649227864e-09,0.00037022569703838454
v32.23,25042000,dephasing,22,0.001,2.9707423731170854e-06,2.9708030239530477e-06,3.1625831636430227e-10,0.00010645767173424218
v32.23,25042000,dephasing,22,0.0003,2.6736681358053767e-07,2.673673048347368e-07,8.3704563358325e-12,3.130701310209955e-05
v32.23,25042000,dephasing,23,0.01,0.00019968541372170185,0.0001985371729498948,1.1609439899204773e-06,0.005813864759989256
