version,seed,family,g_minus,g_plus,E_abs,prominence,dim_minus,dim_plus,A_group,C_group,mean_cosine,positive_fraction,mode_excess,weighted_mode_fraction,n_channels_mean,gram_trace_mean
v32.20,25042000,transverse,21,42,0.6523641195267388,0.34473424651455187,4,4,-0.07489227827167572,0.8193869773359052,0.06473221396613607,0.5446853516657852,0.9131057937869684,0.9999875668622245,62.0,1235.2180201962053
v32.20,25042000,transverse,22,41,0.6353883011550365,0.6326899225480247,4,4,-0.07920900500567235,0.8325984188275818,0.05350640940505698,0.5346377578001058,0.9207854723172986,0.9999896030331343,62.0,1575.1808230994334
v32.20,25042000,transverse,23,40,0.6293356210701317,0.16502413161883028,4,4,0.08410533546535165,0.92251511583467,0.03960454959601109,0.5256478053939715,0.9236458545896299,0.9999831097241985,62.0,1576.0391878652722
v32.20,25042000,transverse,24,39,0.2843715887463743,-0.5475178260577758,4,4,-0.05163286814411448,0.1294799438067426,0.03223523514406599,0.5177154944473823,0.9193762475820801,0.9591398386730275,62.0,1.441368762511397
v32.20,25042000,transverse,25,38,0.2812054412565679,-0.46029967445888076,4,4,-0.06894238490630508,0.061417598743775996,0.017368339449390275,0.5108408249603384,0.9246618583703337,0.9670109016295085,62.0,1.521917629667417
v32.20,25042000,transverse,26,37,0.26482062964046393,-0.585737424372401,4,4,-0.0648909508960914,0.114680150612476,0.006990484467992985,0.5050237969328397,0.9200178322210069,0.970417676389905,62.0,1.6822379385064101
v32.20,25042000,transverse,27,36,0.2619864687735263,-0.751304197451854,4,4,-0.06061207223601379,0.10208594695477025,-0.00044976522639262456,0.5002644103648863,0.9243521256738437,0.9611149032819915,62.0,1.5545043942811114
v32.20,25042000,transverse,28,35,0.07278294475567904,0.1666843876215432,4,4,0.06098098316256717,0.967552651106938,-0.007963637452412693,0.4965626652564781,0.9153261457421966,0.9999973950977583,62.0,7065.291103802378
v32.20,25042000,transverse,29,34,0.07081255002358793,0.12307328643041221,4,4,-0.0537945173538253,0.9099879179073228,-0.012345477683803376,0.493918561607615,0.9086730280430758,0.9999968730209348,62.0,7065.174460550197
v32.20,25042000,transverse,30,33,0.048600388009180644,0.1783224940845633,4,4,0.05947264140154374,0.9438874220291555,-0.015799696803720165,0.4923320994182972,0.9047309904590535,0.9999944678443757,62.0,3706.7021259944777
