geometry_angstrom,method,seed,k,captured_probability_mass,absolute_energy_error_hartree,selected_subspace_energy_hartree,exact_sector_energy_hartree,precision_at_k,recall_at_k,ndcg_at_k,selection_efficiency,overlap_with_real
0.75,NULL,25043010,8,0.016948885426385767,0.8559921488450364,-4.346586828101186,-5.2025789769462225,0.0,0.0,0.0038978496955498153,0.002118610678298221,2
0.75,RANDOM,25043010,8,0.0012967838877245607,1.4707070886508236,-3.731871888295399,-5.2025789769462225,0.0,0.0,0.0003665688333525764,0.00016209798596557008,1
0.75,NULL,25043011,8,0.0005642825252076029,0.7551280275434751,-4.447450949402747,-5.2025789769462225,0.0,0.0,0.00020106972169953047,7.053531565095037e-05,0
0.75,RANDOM,25043011,8,0.0021772423608034074,0.8949950608286779,-4.307583916117545,-5.2025789769462225,0.0,0.0,0.0007892626739476374,0.0002721552951004259,1
0.75,REAL,,12,0.9998744602061064,0.0003652172858057412,-5.202213759660417,-5.2025789769462225,0.08333333333333333,1.0,0.9999906449429804,0.0833228716838422,
0.75,NULL,25043000,12,0.002382397614395722,0.5781130793917066,-4.624465897554516,-5.2025789769462225,0.0,0.0,0.0007280309967434231,0.00019853313453297683,2
0.75,RANDOM,25043000,12,3.7965799413147434e-05,0.4426814786409903,-4.759897498305232,-5.2025789769462225,0.0,0.0,8.548363568163785e-06,3.163816617762286e-06,1
0.75,NULL,25043001,12,0.004192748450815101,0.791916544333203,-4.4106624326130195,-5.2025789769462225,0.0,0.0,0.0013911348045358098,0.00034939570423459177,4
0.75,RANDOM,25043001,12,0.004320587907016916,0.7912489958066438,-4.411329981139579,-5.2025789769462225,0.0,0.0,0.0009673735495921631,0.0003600489922514097,2
0.75,NULL,25043002,12,0.002976488184584349,1.2926523367720115,-3.909926640174211,-5.2025789769462225,0.0,0.0,0.0007940899080123188,0.0002480406820486957,2
0.75,RANDOM,25043002,12,0.017692389249123384,0.7912489958066429,-4.41132998113958,-5.2025789769462225,0.0,0.0,0.004235233155806611,0.001474365770760282,3
0.75,NULL,25043003,12,0.003925057450699227,1.2923582579298447,-3.910220719016378,-5.2025789769462225,0.0,0.0,0.0010951508906515528,0.00032708812089160224,4
0.75,RANDOM,25043003,12,0.003279072467594296,0.4401504797030693,-4.762428497243153,-5.2025789769462225,0.0,0.0,0.0007121991254160131,0.0002732560389661913,3
0.75,NULL,25043004,12,0.0027161590444253,0.42555165545675155,-4.777027321489471,-5.2025789769462225,0.0,0.0,0.0005746719964976788,0.00022634658703544165,2
0.75,RANDOM,25043004,12,0.001433459183674778,0.7908093059684642,-4.411769670977758,-5.2025789769462225,0.0,0.0,0.0003137403245550068,0.00011945493197289817,2
0.75,NULL,25043005,12,0.0022548779589478046,0.42017069010560526,-4.782408286840617,-5.2025789769462225,0.0,0.0,0.0007876190135758028,0.00018790649657898372,2
0.75,RANDOM,25043005,12,0.9752683412758658,0.03799000080189607,-5.164588976144326,-5.2025789769462225,0.08333333333333333,1.0,0.28655813389988083,0.08127236177298881,2
0.75,NULL,25043006,12,0.9731842577616885,0.041819824186344334,-5.160759152759878,-5.2025789769462225,0.08333333333333333,1.0,0.2860950385298083,0.08109868814680737,1
0.75,RANDOM,25043006,12,0.002771313770345765,0.441537800272668,-4.7610411766735545,-5.2025789769462225,0.0,0.0,0.0005919182816201976,0.00023094281419548042,2
0.75,NULL,25043007,12,0.9736246363119025,0.040446044421893035,-5.1621329325243295,-5.2025789769462225,0.08333333333333333,1.0,0.3299939317902559,0.08113538635932521,2
0.75,RANDOM,25043007,12,0.0029565610539998128,0.4415378002726662,-4.761041176673556,-5.2025789769462225,0.0,0.0,0.0007429171803828015,0.00024638008783331775,2
0.75,NULL,25043008,12,0.0022436279425126875,0.440150479703072,-4.7624284972431505,-5.2025789769462225,0.0,0.0,0.0015532624764536436,0.00018696899520939062,1
0.75,RANDOM,25043008,12,0.0005279333840475185,1.2511747349006677,-3.951404242045555,-5.2025789769462225,0.0,0.0,0.00010972799029928881,4.3994448670626537e-05,1
0.75,NULL,25043009,12,0.9744572162729952,0.0379266580902895,-5.164652318855933,-5.2025789769462225,0.08333333333333333,1.0,0.29838617655964267,0.0812047680227496,3
0.75,RANDOM,25043009,12,0.0028892000676116387,0.5682395893515135,-4.634339387594709,-5.2025789769462225,0.0,0.0,0.0008346956607453502,0.0002407666723009699,2
0.75,NULL,25043010,12,0.01751316795159337,0.5705118407728271,-4.632067136173395,-5.2025789769462225,0.0,0.0,0.0040086647625917305,0.0014594306626327807,3
0.75,RANDOM,25043010,12,0.0034374103905071536,1.3911605568691714,-3.811418420077051,-5.2025789769462225,0.0,0.0,0.0007920689532178301,0.00028645086587559615,3
0.75,NULL,25043011,12,0.0005642825252076029,0.7551280275434751,-4.447450949402747,-5.2025789769462225,0.0,0.0,0.00020100158434321408,4.7023543767300244e-05,1
